model_id,field_offset,field_width,field_class,rows_tested,repeat_stability,whisper_group_signal,message_length_signal,local_control_signal,negative_control_stability,score,confidence,reason
fm03159,0,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.496,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03594,14,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.494,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03595,14,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.494,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03598,14,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.494,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03599,14,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.494,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03442,9,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.491,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03443,9,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.491,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03446,9,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.491,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03447,9,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.491,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03153,0,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.491,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03157,0,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.491,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03506,11,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.491,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03507,11,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.491,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03510,11,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.491,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03511,11,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.491,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03156,0,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.49,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03160,0,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.49,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03593,14,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.49,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03596,14,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.49,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03597,14,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.49,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03600,14,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.49,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03538,12,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.488,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03539,12,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.488,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,0,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,1,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,2,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,3,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,4,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,5,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,6,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,7,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,9,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,10,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,11,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,12,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,13,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,14,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03410,15,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,0,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,1,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,2,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,3,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,4,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,5,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,6,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,7,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,9,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,10,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,11,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,12,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,13,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,14,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,15,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,0,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,1,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,2,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,3,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,4,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,5,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,6,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,7,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,9,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,10,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,11,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,12,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,13,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,14,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,15,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,0,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,1,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,2,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,3,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,4,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,5,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,6,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,7,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,9,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,10,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,11,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,12,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,13,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,14,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,15,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,0,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,1,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,2,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,3,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,4,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,5,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,6,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,7,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,9,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,10,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,11,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,12,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,13,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,14,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,15,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,0,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,1,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,2,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,3,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,4,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,5,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,6,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,7,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,9,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,10,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,11,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,12,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,13,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,14,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,15,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,0,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,1,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,2,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,3,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,4,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,5,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,6,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,7,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,9,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,10,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,11,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,12,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,13,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,14,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,15,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,0,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,1,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,2,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,3,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,4,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,5,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,6,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,7,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,9,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,10,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,11,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,12,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,13,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,14,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,15,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03610,0,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03610,1,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03610,2,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03610,3,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03610,4,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03610,5,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03610,6,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03610,7,1,header_candidate,17,0.65,0.1,0.7,0.1,0.5,62.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
