transform_model_id,body_model_id,oracle_id,channel,transforms_tested,exact_message_hits,best_transform,derived_on_training_occurrence,raw_outputs_local_only,confidence,reason
tm00019,bm0002,o002,whisper,2452,291,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00020,bm0002,o003,whisper,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00021,bm0002,o004,whisper,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00022,bm0002,o005,whisper,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00023,bm0002,o006,whisper,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00024,bm0002,o007,whisper,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00025,bm0002,o008,whisper,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00026,bm0002,o009,group,2452,291,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00027,bm0002,o010,group,2452,291,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00028,bm0002,o011,group,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00029,bm0002,o012,group,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00030,bm0002,o013,group,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00031,bm0002,o014,group,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00032,bm0002,o015,group,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00033,bm0002,o016,group,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00034,bm0002,o017,local,2452,291,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00035,bm0003,o001,whisper,2450,290,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00036,bm0003,o002,whisper,2450,290,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00037,bm0003,o003,whisper,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00038,bm0003,o004,whisper,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00039,bm0003,o005,whisper,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00040,bm0003,o006,whisper,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00041,bm0003,o007,whisper,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00042,bm0003,o008,whisper,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00043,bm0003,o009,group,2450,290,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00044,bm0003,o010,group,2450,290,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00045,bm0003,o011,group,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00046,bm0003,o012,group,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00047,bm0003,o013,group,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00048,bm0003,o014,group,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00049,bm0003,o015,group,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00050,bm0003,o016,group,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00051,bm0003,o017,local,2450,290,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00052,bm0004,o001,whisper,2457,293,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00053,bm0004,o002,whisper,2457,293,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00054,bm0004,o003,whisper,2457,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00055,bm0004,o004,whisper,2457,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00056,bm0004,o005,whisper,2457,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00057,bm0004,o006,whisper,2457,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00058,bm0004,o007,whisper,2457,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00059,bm0004,o008,whisper,2457,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00060,bm0004,o009,group,2457,293,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00061,bm0004,o010,group,2457,293,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00062,bm0004,o011,group,2457,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00063,bm0004,o012,group,2457,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00064,bm0004,o013,group,2457,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00065,bm0004,o014,group,2457,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00066,bm0004,o015,group,2457,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00067,bm0004,o016,group,2457,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00068,bm0004,o017,local,2457,293,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00069,bm0005,o001,whisper,2454,287,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00070,bm0005,o002,whisper,2454,287,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00071,bm0005,o003,whisper,2454,127,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00072,bm0005,o004,whisper,2454,127,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00073,bm0005,o005,whisper,2454,127,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00074,bm0005,o006,whisper,2454,127,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00075,bm0005,o007,whisper,2454,127,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00076,bm0005,o008,whisper,2454,127,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00077,bm0005,o009,group,2454,287,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00078,bm0005,o010,group,2454,287,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00079,bm0005,o011,group,2454,127,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00080,bm0005,o012,group,2454,127,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00081,bm0005,o013,group,2454,127,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00082,bm0005,o014,group,2454,127,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00083,bm0005,o015,group,2454,127,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00084,bm0005,o016,group,2454,127,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00085,bm0005,o017,local,2454,287,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00086,bm0006,o001,whisper,2452,291,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00087,bm0006,o002,whisper,2452,291,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00088,bm0006,o003,whisper,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00089,bm0006,o004,whisper,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00090,bm0006,o005,whisper,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00091,bm0006,o006,whisper,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00092,bm0006,o007,whisper,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00093,bm0006,o008,whisper,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00094,bm0006,o009,group,2452,291,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00095,bm0006,o010,group,2452,291,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00096,bm0006,o011,group,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00097,bm0006,o012,group,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00098,bm0006,o013,group,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00099,bm0006,o014,group,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00100,bm0006,o015,group,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00101,bm0006,o016,group,2452,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00102,bm0006,o017,local,2452,291,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00103,bm0007,o001,whisper,2450,290,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00104,bm0007,o002,whisper,2450,290,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00105,bm0007,o003,whisper,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00106,bm0007,o004,whisper,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00107,bm0007,o005,whisper,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00108,bm0007,o006,whisper,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00109,bm0007,o007,whisper,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00110,bm0007,o008,whisper,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00111,bm0007,o009,group,2450,290,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00112,bm0007,o010,group,2450,290,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00113,bm0007,o011,group,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00114,bm0007,o012,group,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00115,bm0007,o013,group,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00116,bm0007,o014,group,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00117,bm0007,o015,group,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00118,bm0007,o016,group,2450,130,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00119,bm0007,o017,local,2450,290,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00120,bm0008,o001,whisper,2445,289,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00121,bm0008,o002,whisper,2445,289,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00122,bm0008,o003,whisper,2445,129,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00123,bm0008,o004,whisper,2445,129,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00124,bm0008,o005,whisper,2445,129,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00125,bm0008,o006,whisper,2445,129,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00126,bm0008,o007,whisper,2445,129,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00127,bm0008,o008,whisper,2445,129,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00128,bm0008,o009,group,2445,289,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00129,bm0008,o010,group,2445,289,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00130,bm0008,o011,group,2445,129,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00131,bm0008,o012,group,2445,129,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00132,bm0008,o013,group,2445,129,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00133,bm0008,o014,group,2445,129,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00134,bm0008,o015,group,2445,129,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00135,bm0008,o016,group,2445,129,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00136,bm0008,o017,local,2445,289,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00137,bm0009,o001,whisper,2474,296,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00138,bm0009,o002,whisper,2474,296,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00139,bm0009,o003,whisper,2474,132,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00140,bm0009,o004,whisper,2474,132,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00141,bm0009,o005,whisper,2474,132,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00142,bm0009,o006,whisper,2474,132,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00143,bm0009,o007,whisper,2474,132,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00144,bm0009,o008,whisper,2474,132,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00145,bm0009,o009,group,2474,296,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00146,bm0009,o010,group,2474,296,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00147,bm0009,o011,group,2474,132,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00148,bm0009,o012,group,2474,132,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00149,bm0009,o013,group,2474,132,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00150,bm0009,o014,group,2474,132,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00151,bm0009,o015,group,2474,132,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00152,bm0009,o016,group,2474,132,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00153,bm0009,o017,local,2474,296,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00154,bm0010,o001,whisper,2447,284,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00155,bm0010,o002,whisper,2447,284,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00156,bm0010,o003,whisper,2447,126,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00157,bm0010,o004,whisper,2447,126,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00158,bm0010,o005,whisper,2447,126,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00159,bm0010,o006,whisper,2447,126,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00160,bm0010,o007,whisper,2447,126,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00161,bm0010,o008,whisper,2447,126,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00162,bm0010,o009,group,2447,284,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00163,bm0010,o010,group,2447,284,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
