model_id,oracle_id,channel,window_model,candidate_frames,packet_count,total_bytes,boundary_confidence,reason
fm03414,o017,local,exact_second_or_pm1_5_fallback,872,1,63,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o001,whisper,exact_second_or_pm1_5_fallback,435,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o002,whisper,exact_second_or_pm1_5_fallback,460,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o003,whisper,exact_second_or_pm1_5_fallback,498;500;502,3,162,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o004,whisper,exact_second_or_pm1_5_fallback,527;529;531,3,137,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o005,whisper,exact_second_or_pm1_5_fallback,619,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o006,whisper,exact_second_or_pm1_5_fallback,637,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o007,whisper,exact_second_or_pm1_5_fallback,698;700;702,3,169,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o008,whisper,exact_second_or_pm1_5_fallback,716,1,133,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o009,group,exact_second_or_pm1_5_fallback,750,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o010,group,exact_second_or_pm1_5_fallback,762,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o011,group,exact_second_or_pm1_5_fallback,774,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o012,group,exact_second_or_pm1_5_fallback,810,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o013,group,exact_second_or_pm1_5_fallback,834,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o014,group,exact_second_or_pm1_5_fallback,838,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o015,group,exact_second_or_pm1_5_fallback,846,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o016,group,exact_second_or_pm1_5_fallback,850,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03415,o017,local,exact_second_or_pm1_5_fallback,872,1,63,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o001,whisper,exact_second_or_pm1_5_fallback,435,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o002,whisper,exact_second_or_pm1_5_fallback,460,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o003,whisper,exact_second_or_pm1_5_fallback,498;500;502,3,162,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o004,whisper,exact_second_or_pm1_5_fallback,527;529;531,3,137,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o005,whisper,exact_second_or_pm1_5_fallback,619,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o006,whisper,exact_second_or_pm1_5_fallback,637,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o007,whisper,exact_second_or_pm1_5_fallback,698;700;702,3,169,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o008,whisper,exact_second_or_pm1_5_fallback,716,1,133,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o009,group,exact_second_or_pm1_5_fallback,750,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o010,group,exact_second_or_pm1_5_fallback,762,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o011,group,exact_second_or_pm1_5_fallback,774,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o012,group,exact_second_or_pm1_5_fallback,810,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o013,group,exact_second_or_pm1_5_fallback,834,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o014,group,exact_second_or_pm1_5_fallback,838,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o015,group,exact_second_or_pm1_5_fallback,846,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o016,group,exact_second_or_pm1_5_fallback,850,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03409,o017,local,exact_second_or_pm1_5_fallback,872,1,63,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o001,whisper,exact_second_or_pm1_5_fallback,435,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o002,whisper,exact_second_or_pm1_5_fallback,460,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o003,whisper,exact_second_or_pm1_5_fallback,498;500;502,3,162,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o004,whisper,exact_second_or_pm1_5_fallback,527;529;531,3,137,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o005,whisper,exact_second_or_pm1_5_fallback,619,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o006,whisper,exact_second_or_pm1_5_fallback,637,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o007,whisper,exact_second_or_pm1_5_fallback,698;700;702,3,169,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o008,whisper,exact_second_or_pm1_5_fallback,716,1,133,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o009,group,exact_second_or_pm1_5_fallback,750,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o010,group,exact_second_or_pm1_5_fallback,762,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o011,group,exact_second_or_pm1_5_fallback,774,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o012,group,exact_second_or_pm1_5_fallback,810,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o013,group,exact_second_or_pm1_5_fallback,834,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o014,group,exact_second_or_pm1_5_fallback,838,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o015,group,exact_second_or_pm1_5_fallback,846,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o016,group,exact_second_or_pm1_5_fallback,850,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03412,o017,local,exact_second_or_pm1_5_fallback,872,1,63,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o001,whisper,exact_second_or_pm1_5_fallback,435,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o002,whisper,exact_second_or_pm1_5_fallback,460,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o003,whisper,exact_second_or_pm1_5_fallback,498;500;502,3,162,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o004,whisper,exact_second_or_pm1_5_fallback,527;529;531,3,137,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o005,whisper,exact_second_or_pm1_5_fallback,619,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o006,whisper,exact_second_or_pm1_5_fallback,637,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o007,whisper,exact_second_or_pm1_5_fallback,698;700;702,3,169,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o008,whisper,exact_second_or_pm1_5_fallback,716,1,133,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o009,group,exact_second_or_pm1_5_fallback,750,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o010,group,exact_second_or_pm1_5_fallback,762,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o011,group,exact_second_or_pm1_5_fallback,774,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o012,group,exact_second_or_pm1_5_fallback,810,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o013,group,exact_second_or_pm1_5_fallback,834,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o014,group,exact_second_or_pm1_5_fallback,838,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o015,group,exact_second_or_pm1_5_fallback,846,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o016,group,exact_second_or_pm1_5_fallback,850,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03413,o017,local,exact_second_or_pm1_5_fallback,872,1,63,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o001,whisper,exact_second_or_pm1_5_fallback,435,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o002,whisper,exact_second_or_pm1_5_fallback,460,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o003,whisper,exact_second_or_pm1_5_fallback,498;500;502,3,162,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o004,whisper,exact_second_or_pm1_5_fallback,527;529;531,3,137,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o005,whisper,exact_second_or_pm1_5_fallback,619,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o006,whisper,exact_second_or_pm1_5_fallback,637,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o007,whisper,exact_second_or_pm1_5_fallback,698;700;702,3,169,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o008,whisper,exact_second_or_pm1_5_fallback,716,1,133,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o009,group,exact_second_or_pm1_5_fallback,750,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o010,group,exact_second_or_pm1_5_fallback,762,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o011,group,exact_second_or_pm1_5_fallback,774,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o012,group,exact_second_or_pm1_5_fallback,810,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o013,group,exact_second_or_pm1_5_fallback,834,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o014,group,exact_second_or_pm1_5_fallback,838,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o015,group,exact_second_or_pm1_5_fallback,846,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o016,group,exact_second_or_pm1_5_fallback,850,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03416,o017,local,exact_second_or_pm1_5_fallback,872,1,63,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o001,whisper,exact_second_or_pm1_5_fallback,435,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o002,whisper,exact_second_or_pm1_5_fallback,460,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o003,whisper,exact_second_or_pm1_5_fallback,498;500;502,3,162,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o004,whisper,exact_second_or_pm1_5_fallback,527;529;531,3,137,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o005,whisper,exact_second_or_pm1_5_fallback,619,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o006,whisper,exact_second_or_pm1_5_fallback,637,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o007,whisper,exact_second_or_pm1_5_fallback,698;700;702,3,169,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o008,whisper,exact_second_or_pm1_5_fallback,716,1,133,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o009,group,exact_second_or_pm1_5_fallback,750,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o010,group,exact_second_or_pm1_5_fallback,762,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o011,group,exact_second_or_pm1_5_fallback,774,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o012,group,exact_second_or_pm1_5_fallback,810,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o013,group,exact_second_or_pm1_5_fallback,834,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o014,group,exact_second_or_pm1_5_fallback,838,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o015,group,exact_second_or_pm1_5_fallback,846,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o016,group,exact_second_or_pm1_5_fallback,850,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03610,o017,local,exact_second_or_pm1_5_fallback,872,1,63,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o001,whisper,exact_second_or_pm1_5_fallback,435,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o002,whisper,exact_second_or_pm1_5_fallback,460,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o003,whisper,exact_second_or_pm1_5_fallback,498;500;502,3,162,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o004,whisper,exact_second_or_pm1_5_fallback,527;529;531,3,137,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o005,whisper,exact_second_or_pm1_5_fallback,619,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o006,whisper,exact_second_or_pm1_5_fallback,637,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o007,whisper,exact_second_or_pm1_5_fallback,698;700;702,3,169,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o008,whisper,exact_second_or_pm1_5_fallback,716,1,133,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o009,group,exact_second_or_pm1_5_fallback,750,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o010,group,exact_second_or_pm1_5_fallback,762,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o011,group,exact_second_or_pm1_5_fallback,774,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o012,group,exact_second_or_pm1_5_fallback,810,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o013,group,exact_second_or_pm1_5_fallback,834,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o014,group,exact_second_or_pm1_5_fallback,838,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o015,group,exact_second_or_pm1_5_fallback,846,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o016,group,exact_second_or_pm1_5_fallback,850,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03611,o017,local,exact_second_or_pm1_5_fallback,872,1,63,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o001,whisper,exact_second_or_pm1_5_fallback,435,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o002,whisper,exact_second_or_pm1_5_fallback,460,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o003,whisper,exact_second_or_pm1_5_fallback,498;500;502,3,162,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o004,whisper,exact_second_or_pm1_5_fallback,527;529;531,3,137,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o005,whisper,exact_second_or_pm1_5_fallback,619,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o006,whisper,exact_second_or_pm1_5_fallback,637,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o007,whisper,exact_second_or_pm1_5_fallback,698;700;702,3,169,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o008,whisper,exact_second_or_pm1_5_fallback,716,1,133,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o009,group,exact_second_or_pm1_5_fallback,750,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o010,group,exact_second_or_pm1_5_fallback,762,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o011,group,exact_second_or_pm1_5_fallback,774,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o012,group,exact_second_or_pm1_5_fallback,810,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o013,group,exact_second_or_pm1_5_fallback,834,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o014,group,exact_second_or_pm1_5_fallback,838,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o015,group,exact_second_or_pm1_5_fallback,846,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o016,group,exact_second_or_pm1_5_fallback,850,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03614,o017,local,exact_second_or_pm1_5_fallback,872,1,63,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o001,whisper,exact_second_or_pm1_5_fallback,435,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o002,whisper,exact_second_or_pm1_5_fallback,460,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o003,whisper,exact_second_or_pm1_5_fallback,498;500;502,3,162,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o004,whisper,exact_second_or_pm1_5_fallback,527;529;531,3,137,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o005,whisper,exact_second_or_pm1_5_fallback,619,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o006,whisper,exact_second_or_pm1_5_fallback,637,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o007,whisper,exact_second_or_pm1_5_fallback,698;700;702,3,169,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o008,whisper,exact_second_or_pm1_5_fallback,716,1,133,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o009,group,exact_second_or_pm1_5_fallback,750,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o010,group,exact_second_or_pm1_5_fallback,762,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o011,group,exact_second_or_pm1_5_fallback,774,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o012,group,exact_second_or_pm1_5_fallback,810,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o013,group,exact_second_or_pm1_5_fallback,834,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o014,group,exact_second_or_pm1_5_fallback,838,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o015,group,exact_second_or_pm1_5_fallback,846,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o016,group,exact_second_or_pm1_5_fallback,850,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03615,o017,local,exact_second_or_pm1_5_fallback,872,1,63,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03218,o001,whisper,exact_second_or_pm1_5_fallback,435,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03218,o002,whisper,exact_second_or_pm1_5_fallback,460,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03218,o003,whisper,exact_second_or_pm1_5_fallback,498;500;502,3,162,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03218,o004,whisper,exact_second_or_pm1_5_fallback,527;529;531,3,137,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
