hypothesis_id,flow_role,server_port,direction,header_model,body_offset_model,rows_tested,rows_plausible,repeat_consistency,marker_length_signal,confidence,reason
7780_S2C_2byte_length_off0,world_game_candidate,7780,S2C,2byte_length,0,97,8,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_4byte_length_off12,world_game_candidate,7780,S2C,4byte_length,12,97,29,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_4byte_length_off14,world_game_candidate,7780,S2C,4byte_length,14,97,30,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_4byte_length_off16,world_game_candidate,7780,S2C,4byte_length,16,97,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_opcode_complement_off0,world_game_candidate,7780,S2C,opcode_complement,0,97,24,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_opcode_complement_off2,world_game_candidate,7780,S2C,opcode_complement,2,97,32,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_opcode_complement_off4,world_game_candidate,7780,S2C,opcode_complement,4,97,16,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_opcode_complement_off6,world_game_candidate,7780,S2C,opcode_complement,6,97,19,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_opcode_complement_off8,world_game_candidate,7780,S2C,opcode_complement,8,97,21,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_opcode_complement_off10,world_game_candidate,7780,S2C,opcode_complement,10,97,22,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_opcode_complement_off12,world_game_candidate,7780,S2C,opcode_complement,12,97,53,false,not_direct_length_ladder,medium,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_opcode_complement_off14,world_game_candidate,7780,S2C,opcode_complement,14,97,43,false,not_direct_length_ladder,medium,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_opcode_complement_off16,world_game_candidate,7780,S2C,opcode_complement,16,97,17,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_batch_length_plausible_off0,world_game_candidate,7780,S2C,batch_length_plausible,0,97,97,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_batch_length_plausible_off2,world_game_candidate,7780,S2C,batch_length_plausible,2,97,97,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_batch_length_plausible_off4,world_game_candidate,7780,S2C,batch_length_plausible,4,97,97,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_batch_length_plausible_off6,world_game_candidate,7780,S2C,batch_length_plausible,6,97,97,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_batch_length_plausible_off8,world_game_candidate,7780,S2C,batch_length_plausible,8,97,68,false,not_direct_length_ladder,medium,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_batch_length_plausible_off10,world_game_candidate,7780,S2C,batch_length_plausible,10,97,66,false,not_direct_length_ladder,medium,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_batch_length_plausible_off12,world_game_candidate,7780,S2C,batch_length_plausible,12,97,66,false,not_direct_length_ladder,medium,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_batch_length_plausible_off14,world_game_candidate,7780,S2C,batch_length_plausible,14,97,41,false,not_direct_length_ladder,medium,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_batch_length_plausible_off16,world_game_candidate,7780,S2C,batch_length_plausible,16,97,41,false,not_direct_length_ladder,medium,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_small_c2s_trigger_delayed_s2c_off0,world_game_candidate,7780,S2C,small_c2s_trigger_delayed_s2c,0,97,97,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_small_c2s_trigger_delayed_s2c_off2,world_game_candidate,7780,S2C,small_c2s_trigger_delayed_s2c,2,97,97,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_small_c2s_trigger_delayed_s2c_off4,world_game_candidate,7780,S2C,small_c2s_trigger_delayed_s2c,4,97,97,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_small_c2s_trigger_delayed_s2c_off6,world_game_candidate,7780,S2C,small_c2s_trigger_delayed_s2c,6,97,97,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_small_c2s_trigger_delayed_s2c_off8,world_game_candidate,7780,S2C,small_c2s_trigger_delayed_s2c,8,97,97,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_small_c2s_trigger_delayed_s2c_off10,world_game_candidate,7780,S2C,small_c2s_trigger_delayed_s2c,10,97,97,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_small_c2s_trigger_delayed_s2c_off12,world_game_candidate,7780,S2C,small_c2s_trigger_delayed_s2c,12,97,97,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_small_c2s_trigger_delayed_s2c_off14,world_game_candidate,7780,S2C,small_c2s_trigger_delayed_s2c,14,97,96,false,plausible_structure_only,medium,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_small_c2s_trigger_delayed_s2c_off16,world_game_candidate,7780,S2C,small_c2s_trigger_delayed_s2c,16,97,66,false,not_direct_length_ladder,medium,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_2byte_length_off0,chat_sidechannel_candidate,10242,S2C,2byte_length,0,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_2byte_length_off2,chat_sidechannel_candidate,10242,S2C,2byte_length,2,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_2byte_length_off4,chat_sidechannel_candidate,10242,S2C,2byte_length,4,15,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_2byte_length_off6,chat_sidechannel_candidate,10242,S2C,2byte_length,6,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_2byte_length_off8,chat_sidechannel_candidate,10242,S2C,2byte_length,8,15,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_2byte_length_off10,chat_sidechannel_candidate,10242,S2C,2byte_length,10,15,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_2byte_length_off12,chat_sidechannel_candidate,10242,S2C,2byte_length,12,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_2byte_length_off14,chat_sidechannel_candidate,10242,S2C,2byte_length,14,15,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_2byte_length_off16,chat_sidechannel_candidate,10242,S2C,2byte_length,16,15,2,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_4byte_length_off0,chat_sidechannel_candidate,10242,S2C,4byte_length,0,15,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_4byte_length_off2,chat_sidechannel_candidate,10242,S2C,4byte_length,2,15,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_4byte_length_off4,chat_sidechannel_candidate,10242,S2C,4byte_length,4,15,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_4byte_length_off6,chat_sidechannel_candidate,10242,S2C,4byte_length,6,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_4byte_length_off8,chat_sidechannel_candidate,10242,S2C,4byte_length,8,15,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_4byte_length_off10,chat_sidechannel_candidate,10242,S2C,4byte_length,10,15,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_4byte_length_off12,chat_sidechannel_candidate,10242,S2C,4byte_length,12,15,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_4byte_length_off14,chat_sidechannel_candidate,10242,S2C,4byte_length,14,15,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_4byte_length_off16,chat_sidechannel_candidate,10242,S2C,4byte_length,16,15,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_opcode_complement_off0,chat_sidechannel_candidate,10242,S2C,opcode_complement,0,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_opcode_complement_off2,chat_sidechannel_candidate,10242,S2C,opcode_complement,2,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_opcode_complement_off4,chat_sidechannel_candidate,10242,S2C,opcode_complement,4,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_opcode_complement_off6,chat_sidechannel_candidate,10242,S2C,opcode_complement,6,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_opcode_complement_off8,chat_sidechannel_candidate,10242,S2C,opcode_complement,8,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_opcode_complement_off10,chat_sidechannel_candidate,10242,S2C,opcode_complement,10,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_opcode_complement_off12,chat_sidechannel_candidate,10242,S2C,opcode_complement,12,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_opcode_complement_off14,chat_sidechannel_candidate,10242,S2C,opcode_complement,14,15,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_opcode_complement_off16,chat_sidechannel_candidate,10242,S2C,opcode_complement,16,15,2,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_batch_length_plausible_off0,chat_sidechannel_candidate,10242,S2C,batch_length_plausible,0,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_batch_length_plausible_off2,chat_sidechannel_candidate,10242,S2C,batch_length_plausible,2,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_batch_length_plausible_off4,chat_sidechannel_candidate,10242,S2C,batch_length_plausible,4,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_batch_length_plausible_off6,chat_sidechannel_candidate,10242,S2C,batch_length_plausible,6,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_batch_length_plausible_off8,chat_sidechannel_candidate,10242,S2C,batch_length_plausible,8,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_batch_length_plausible_off10,chat_sidechannel_candidate,10242,S2C,batch_length_plausible,10,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_batch_length_plausible_off12,chat_sidechannel_candidate,10242,S2C,batch_length_plausible,12,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_batch_length_plausible_off14,chat_sidechannel_candidate,10242,S2C,batch_length_plausible,14,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_batch_length_plausible_off16,chat_sidechannel_candidate,10242,S2C,batch_length_plausible,16,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_small_c2s_trigger_delayed_s2c_off0,chat_sidechannel_candidate,10242,S2C,small_c2s_trigger_delayed_s2c,0,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_small_c2s_trigger_delayed_s2c_off2,chat_sidechannel_candidate,10242,S2C,small_c2s_trigger_delayed_s2c,2,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_small_c2s_trigger_delayed_s2c_off4,chat_sidechannel_candidate,10242,S2C,small_c2s_trigger_delayed_s2c,4,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_small_c2s_trigger_delayed_s2c_off6,chat_sidechannel_candidate,10242,S2C,small_c2s_trigger_delayed_s2c,6,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_small_c2s_trigger_delayed_s2c_off8,chat_sidechannel_candidate,10242,S2C,small_c2s_trigger_delayed_s2c,8,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_small_c2s_trigger_delayed_s2c_off10,chat_sidechannel_candidate,10242,S2C,small_c2s_trigger_delayed_s2c,10,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_small_c2s_trigger_delayed_s2c_off12,chat_sidechannel_candidate,10242,S2C,small_c2s_trigger_delayed_s2c,12,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_small_c2s_trigger_delayed_s2c_off14,chat_sidechannel_candidate,10242,S2C,small_c2s_trigger_delayed_s2c,14,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_S2C_small_c2s_trigger_delayed_s2c_off16,chat_sidechannel_candidate,10242,S2C,small_c2s_trigger_delayed_s2c,16,15,15,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_2byte_length_off0,chat_sidechannel_candidate,10242,C2S,2byte_length,0,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_2byte_length_off2,chat_sidechannel_candidate,10242,C2S,2byte_length,2,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_2byte_length_off4,chat_sidechannel_candidate,10242,C2S,2byte_length,4,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_2byte_length_off6,chat_sidechannel_candidate,10242,C2S,2byte_length,6,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_2byte_length_off8,chat_sidechannel_candidate,10242,C2S,2byte_length,8,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_2byte_length_off10,chat_sidechannel_candidate,10242,C2S,2byte_length,10,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_2byte_length_off12,chat_sidechannel_candidate,10242,C2S,2byte_length,12,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_2byte_length_off14,chat_sidechannel_candidate,10242,C2S,2byte_length,14,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_2byte_length_off16,chat_sidechannel_candidate,10242,C2S,2byte_length,16,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_4byte_length_off0,chat_sidechannel_candidate,10242,C2S,4byte_length,0,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_4byte_length_off2,chat_sidechannel_candidate,10242,C2S,4byte_length,2,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_4byte_length_off4,chat_sidechannel_candidate,10242,C2S,4byte_length,4,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_4byte_length_off6,chat_sidechannel_candidate,10242,C2S,4byte_length,6,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_4byte_length_off8,chat_sidechannel_candidate,10242,C2S,4byte_length,8,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_4byte_length_off10,chat_sidechannel_candidate,10242,C2S,4byte_length,10,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_4byte_length_off12,chat_sidechannel_candidate,10242,C2S,4byte_length,12,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_4byte_length_off14,chat_sidechannel_candidate,10242,C2S,4byte_length,14,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_4byte_length_off16,chat_sidechannel_candidate,10242,C2S,4byte_length,16,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_opcode_complement_off0,chat_sidechannel_candidate,10242,C2S,opcode_complement,0,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_opcode_complement_off2,chat_sidechannel_candidate,10242,C2S,opcode_complement,2,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_opcode_complement_off4,chat_sidechannel_candidate,10242,C2S,opcode_complement,4,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_opcode_complement_off6,chat_sidechannel_candidate,10242,C2S,opcode_complement,6,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_opcode_complement_off8,chat_sidechannel_candidate,10242,C2S,opcode_complement,8,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_opcode_complement_off10,chat_sidechannel_candidate,10242,C2S,opcode_complement,10,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_opcode_complement_off12,chat_sidechannel_candidate,10242,C2S,opcode_complement,12,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_opcode_complement_off14,chat_sidechannel_candidate,10242,C2S,opcode_complement,14,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_opcode_complement_off16,chat_sidechannel_candidate,10242,C2S,opcode_complement,16,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_batch_length_plausible_off0,chat_sidechannel_candidate,10242,C2S,batch_length_plausible,0,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_batch_length_plausible_off2,chat_sidechannel_candidate,10242,C2S,batch_length_plausible,2,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_batch_length_plausible_off4,chat_sidechannel_candidate,10242,C2S,batch_length_plausible,4,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_batch_length_plausible_off6,chat_sidechannel_candidate,10242,C2S,batch_length_plausible,6,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_batch_length_plausible_off8,chat_sidechannel_candidate,10242,C2S,batch_length_plausible,8,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_batch_length_plausible_off10,chat_sidechannel_candidate,10242,C2S,batch_length_plausible,10,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_batch_length_plausible_off12,chat_sidechannel_candidate,10242,C2S,batch_length_plausible,12,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_batch_length_plausible_off14,chat_sidechannel_candidate,10242,C2S,batch_length_plausible,14,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_batch_length_plausible_off16,chat_sidechannel_candidate,10242,C2S,batch_length_plausible,16,16,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_small_c2s_trigger_delayed_s2c_off0,chat_sidechannel_candidate,10242,C2S,small_c2s_trigger_delayed_s2c,0,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_small_c2s_trigger_delayed_s2c_off2,chat_sidechannel_candidate,10242,C2S,small_c2s_trigger_delayed_s2c,2,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_small_c2s_trigger_delayed_s2c_off4,chat_sidechannel_candidate,10242,C2S,small_c2s_trigger_delayed_s2c,4,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_small_c2s_trigger_delayed_s2c_off6,chat_sidechannel_candidate,10242,C2S,small_c2s_trigger_delayed_s2c,6,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_small_c2s_trigger_delayed_s2c_off8,chat_sidechannel_candidate,10242,C2S,small_c2s_trigger_delayed_s2c,8,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_small_c2s_trigger_delayed_s2c_off10,chat_sidechannel_candidate,10242,C2S,small_c2s_trigger_delayed_s2c,10,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_small_c2s_trigger_delayed_s2c_off12,chat_sidechannel_candidate,10242,C2S,small_c2s_trigger_delayed_s2c,12,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_small_c2s_trigger_delayed_s2c_off14,chat_sidechannel_candidate,10242,C2S,small_c2s_trigger_delayed_s2c,14,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
10242_C2S_small_c2s_trigger_delayed_s2c_off16,chat_sidechannel_candidate,10242,C2S,small_c2s_trigger_delayed_s2c,16,16,16,true,plausible_structure_only,high,safe framing plausibility checks on local payload windows; bytes not written
