register,path_b_stage,source_function,source_address,source_kind,evidence_summary,confidence,next_hop
RDX,0x11B5625B,0x11B5625B,,observed_not_proven_source,"0x11B5625B MOVSX R12W,BL\n0x11B56260 NOT RAX\n0x11B56263 MOV RDI,RSP\n0x11B56266 ROL R12D,CL\n0x11B56269 SHL BH,CL\n0x11B5626B MOVSX R12W,BL\n0x11B56270 LEA RAX,[-0x7c0e2b7c + RCX*0x8]\n0x11B56278 LEA R12,[0x11b54e6f]\n0x11B5627F ROL DX,0x1\n0x11B56282 MOV RAX,0x0\n0x11B5628C XADD RDX,RBX\n0x11B56290 DEC RBX\n0x11B56293 ADD RSI,RAX\n0x11B56296 BTS EDX,EDI\n0x11B56299 XCHG AL,DH\n0x11B5629B OR BL,0x57\n0x11B5629E SHLD RDX,RAX,CL\n0x11B562A2 MOV RBX,RSI\n0x11B562A5 XADD AL,DH\n0x11B562A8 NEG DL\n0x11B562AA MOVZX DX,DL\n0x11B562AE ADD RSI,qword ptr [RBP]\n0x11B562B2 ROR RDX,0x35\n0x11B562B6 LEA RDX,[RBP + -0x78f0045b]\n0x11B562BD MOV AL,byte ptr [RSI]\n0x11B562BF SETP DH\n0x11B562C2 SUB DX,DI\n0x11B562C5 ADC DL,0x6\n0x11B562C8 BTC DX,DX\n0x11B562CC SUB AL,BL\n0x11B562CE LEA RDX,[RBX + -0x2df328ed]\n0x11B562D5 ADD AL,0x86\n0x11B562D7 RCR DH,CL\n0x11B562D9 XOR AL,0x34\n0x11B562DB SETP DH\n0x11B562DE CLC\n0x11B562DF BTS DX,DX\n0x11B562E3 ROL AL,0x5\n0x11B562E6 BT SI,DI\n0x11B562EA SUB BL,AL\n0x11B562EC DEC EDX\n0x11B562EE INC DH\n0x11B562F0 MOVZX RDX,CL\n0x11B562F4 DEC DH\n0x11B562F6 MOVZX RAX,AL\n0x11B562FA NOT DX\n0x11B562FD DEC EDX\n0x11B562FF INC RSI\n0x11B56302 CMC\n0x11B56303 SHL DX,0x1\n0x11B56306 BTS DX,0xb\n0x11B5630B ROR DX,0x7\n0x11B5630F MOV RDX,qword ptr [R12 + RAX*0x8]\n0x11B56313 CLC\n0x11B56314 BT DX,DX\n0x11B56318 SUB RDX,-0x15f664fe\n0x11B5631F TEST CL,0x60\n0x11B56322 BT RDX,RSP\n0x11B56326 ADD RDX,R13\n0x11B56329 JMP RDX\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RSI,0x11B5625B,0x11B5625B,,dispatcher uses effective register state; entry source still unknown,"0x11B5625B MOVSX R12W,BL\n0x11B56260 NOT RAX\n0x11B56263 MOV RDI,RSP\n0x11B56266 ROL R12D,CL\n0x11B56269 SHL BH,CL\n0x11B5626B MOVSX R12W,BL\n0x11B56270 LEA RAX,[-0x7c0e2b7c + RCX*0x8]\n0x11B56278 LEA R12,[0x11b54e6f]\n0x11B5627F ROL DX,0x1\n0x11B56282 MOV RAX,0x0\n0x11B5628C XADD RDX,RBX\n0x11B56290 DEC RBX\n0x11B56293 ADD RSI,RAX\n0x11B56296 BTS EDX,EDI\n0x11B56299 XCHG AL,DH\n0x11B5629B OR BL,0x57\n0x11B5629E SHLD RDX,RAX,CL\n0x11B562A2 MOV RBX,RSI\n0x11B562A5 XADD AL,DH\n0x11B562A8 NEG DL\n0x11B562AA MOVZX DX,DL\n0x11B562AE ADD RSI,qword ptr [RBP]\n0x11B562B2 ROR RDX,0x35\n0x11B562B6 LEA RDX,[RBP + -0x78f0045b]\n0x11B562BD MOV AL,byte ptr [RSI]\n0x11B562BF SETP DH\n0x11B562C2 SUB DX,DI\n0x11B562C5 ADC DL,0x6\n0x11B562C8 BTC DX,DX\n0x11B562CC SUB AL,BL\n0x11B562CE LEA RDX,[RBX + -0x2df328ed]\n0x11B562D5 ADD AL,0x86\n0x11B562D7 RCR DH,CL\n0x11B562D9 XOR AL,0x34\n0x11B562DB SETP DH\n0x11B562DE CLC\n0x11B562DF BTS DX,DX\n0x11B562E3 ROL AL,0x5\n0x11B562E6 BT SI,DI\n0x11B562EA SUB BL,AL\n0x11B562EC DEC EDX\n0x11B562EE INC DH\n0x11B562F0 MOVZX RDX,CL\n0x11B562F4 DEC DH\n0x11B562F6 MOVZX RAX,AL\n0x11B562FA NOT DX\n0x11B562FD DEC EDX\n0x11B562FF INC RSI\n0x11B56302 CMC\n0x11B56303 SHL DX,0x1\n0x11B56306 BTS DX,0xb\n0x11B5630B ROR DX,0x7\n0x11B5630F MOV RDX,qword ptr [R12 + RAX*0x8]\n0x11B56313 CLC\n0x11B56314 BT DX,DX\n0x11B56318 SUB RDX,-0x15f664fe\n0x11B5631F TEST CL,0x60\n0x11B56322 BT RDX,RSP\n0x11B56326 ADD RDX,R13\n0x11B56329 JMP RDX\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RBX,0x11B5625B,0x11B5625B,,dispatcher uses effective register state; entry source still unknown,"0x11B5625B MOVSX R12W,BL\n0x11B56260 NOT RAX\n0x11B56263 MOV RDI,RSP\n0x11B56266 ROL R12D,CL\n0x11B56269 SHL BH,CL\n0x11B5626B MOVSX R12W,BL\n0x11B56270 LEA RAX,[-0x7c0e2b7c + RCX*0x8]\n0x11B56278 LEA R12,[0x11b54e6f]\n0x11B5627F ROL DX,0x1\n0x11B56282 MOV RAX,0x0\n0x11B5628C XADD RDX,RBX\n0x11B56290 DEC RBX\n0x11B56293 ADD RSI,RAX\n0x11B56296 BTS EDX,EDI\n0x11B56299 XCHG AL,DH\n0x11B5629B OR BL,0x57\n0x11B5629E SHLD RDX,RAX,CL\n0x11B562A2 MOV RBX,RSI\n0x11B562A5 XADD AL,DH\n0x11B562A8 NEG DL\n0x11B562AA MOVZX DX,DL\n0x11B562AE ADD RSI,qword ptr [RBP]\n0x11B562B2 ROR RDX,0x35\n0x11B562B6 LEA RDX,[RBP + -0x78f0045b]\n0x11B562BD MOV AL,byte ptr [RSI]\n0x11B562BF SETP DH\n0x11B562C2 SUB DX,DI\n0x11B562C5 ADC DL,0x6\n0x11B562C8 BTC DX,DX\n0x11B562CC SUB AL,BL\n0x11B562CE LEA RDX,[RBX + -0x2df328ed]\n0x11B562D5 ADD AL,0x86\n0x11B562D7 RCR DH,CL\n0x11B562D9 XOR AL,0x34\n0x11B562DB SETP DH\n0x11B562DE CLC\n0x11B562DF BTS DX,DX\n0x11B562E3 ROL AL,0x5\n0x11B562E6 BT SI,DI\n0x11B562EA SUB BL,AL\n0x11B562EC DEC EDX\n0x11B562EE INC DH\n0x11B562F0 MOVZX RDX,CL\n0x11B562F4 DEC DH\n0x11B562F6 MOVZX RAX,AL\n0x11B562FA NOT DX\n0x11B562FD DEC EDX\n0x11B562FF INC RSI\n0x11B56302 CMC\n0x11B56303 SHL DX,0x1\n0x11B56306 BTS DX,0xb\n0x11B5630B ROR DX,0x7\n0x11B5630F MOV RDX,qword ptr [R12 + RAX*0x8]\n0x11B56313 CLC\n0x11B56314 BT DX,DX\n0x11B56318 SUB RDX,-0x15f664fe\n0x11B5631F TEST CL,0x60\n0x11B56322 BT RDX,RSP\n0x11B56326 ADD RDX,R13\n0x11B56329 JMP RDX\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
BL,0x11B5625B,0x11B5625B,,dispatcher uses effective register state; entry source still unknown,"0x11B5625B MOVSX R12W,BL\n0x11B56260 NOT RAX\n0x11B56263 MOV RDI,RSP\n0x11B56266 ROL R12D,CL\n0x11B56269 SHL BH,CL\n0x11B5626B MOVSX R12W,BL\n0x11B56270 LEA RAX,[-0x7c0e2b7c + RCX*0x8]\n0x11B56278 LEA R12,[0x11b54e6f]\n0x11B5627F ROL DX,0x1\n0x11B56282 MOV RAX,0x0\n0x11B5628C XADD RDX,RBX\n0x11B56290 DEC RBX\n0x11B56293 ADD RSI,RAX\n0x11B56296 BTS EDX,EDI\n0x11B56299 XCHG AL,DH\n0x11B5629B OR BL,0x57\n0x11B5629E SHLD RDX,RAX,CL\n0x11B562A2 MOV RBX,RSI\n0x11B562A5 XADD AL,DH\n0x11B562A8 NEG DL\n0x11B562AA MOVZX DX,DL\n0x11B562AE ADD RSI,qword ptr [RBP]\n0x11B562B2 ROR RDX,0x35\n0x11B562B6 LEA RDX,[RBP + -0x78f0045b]\n0x11B562BD MOV AL,byte ptr [RSI]\n0x11B562BF SETP DH\n0x11B562C2 SUB DX,DI\n0x11B562C5 ADC DL,0x6\n0x11B562C8 BTC DX,DX\n0x11B562CC SUB AL,BL\n0x11B562CE LEA RDX,[RBX + -0x2df328ed]\n0x11B562D5 ADD AL,0x86\n0x11B562D7 RCR DH,CL\n0x11B562D9 XOR AL,0x34\n0x11B562DB SETP DH\n0x11B562DE CLC\n0x11B562DF BTS DX,DX\n0x11B562E3 ROL AL,0x5\n0x11B562E6 BT SI,DI\n0x11B562EA SUB BL,AL\n0x11B562EC DEC EDX\n0x11B562EE INC DH\n0x11B562F0 MOVZX RDX,CL\n0x11B562F4 DEC DH\n0x11B562F6 MOVZX RAX,AL\n0x11B562FA NOT DX\n0x11B562FD DEC EDX\n0x11B562FF INC RSI\n0x11B56302 CMC\n0x11B56303 SHL DX,0x1\n0x11B56306 BTS DX,0xb\n0x11B5630B ROR DX,0x7\n0x11B5630F MOV RDX,qword ptr [R12 + RAX*0x8]\n0x11B56313 CLC\n0x11B56314 BT DX,DX\n0x11B56318 SUB RDX,-0x15f664fe\n0x11B5631F TEST CL,0x60\n0x11B56322 BT RDX,RSP\n0x11B56326 ADD RDX,R13\n0x11B56329 JMP RDX\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RBP,0x11B5625B,0x11B5625B,,observed_not_proven_source,"0x11B5625B MOVSX R12W,BL\n0x11B56260 NOT RAX\n0x11B56263 MOV RDI,RSP\n0x11B56266 ROL R12D,CL\n0x11B56269 SHL BH,CL\n0x11B5626B MOVSX R12W,BL\n0x11B56270 LEA RAX,[-0x7c0e2b7c + RCX*0x8]\n0x11B56278 LEA R12,[0x11b54e6f]\n0x11B5627F ROL DX,0x1\n0x11B56282 MOV RAX,0x0\n0x11B5628C XADD RDX,RBX\n0x11B56290 DEC RBX\n0x11B56293 ADD RSI,RAX\n0x11B56296 BTS EDX,EDI\n0x11B56299 XCHG AL,DH\n0x11B5629B OR BL,0x57\n0x11B5629E SHLD RDX,RAX,CL\n0x11B562A2 MOV RBX,RSI\n0x11B562A5 XADD AL,DH\n0x11B562A8 NEG DL\n0x11B562AA MOVZX DX,DL\n0x11B562AE ADD RSI,qword ptr [RBP]\n0x11B562B2 ROR RDX,0x35\n0x11B562B6 LEA RDX,[RBP + -0x78f0045b]\n0x11B562BD MOV AL,byte ptr [RSI]\n0x11B562BF SETP DH\n0x11B562C2 SUB DX,DI\n0x11B562C5 ADC DL,0x6\n0x11B562C8 BTC DX,DX\n0x11B562CC SUB AL,BL\n0x11B562CE LEA RDX,[RBX + -0x2df328ed]\n0x11B562D5 ADD AL,0x86\n0x11B562D7 RCR DH,CL\n0x11B562D9 XOR AL,0x34\n0x11B562DB SETP DH\n0x11B562DE CLC\n0x11B562DF BTS DX,DX\n0x11B562E3 ROL AL,0x5\n0x11B562E6 BT SI,DI\n0x11B562EA SUB BL,AL\n0x11B562EC DEC EDX\n0x11B562EE INC DH\n0x11B562F0 MOVZX RDX,CL\n0x11B562F4 DEC DH\n0x11B562F6 MOVZX RAX,AL\n0x11B562FA NOT DX\n0x11B562FD DEC EDX\n0x11B562FF INC RSI\n0x11B56302 CMC\n0x11B56303 SHL DX,0x1\n0x11B56306 BTS DX,0xb\n0x11B5630B ROR DX,0x7\n0x11B5630F MOV RDX,qword ptr [R12 + RAX*0x8]\n0x11B56313 CLC\n0x11B56314 BT DX,DX\n0x11B56318 SUB RDX,-0x15f664fe\n0x11B5631F TEST CL,0x60\n0x11B56322 BT RDX,RSP\n0x11B56326 ADD RDX,R13\n0x11B56329 JMP RDX\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RCX,0x11B5625B,0x11B5625B,,observed_not_proven_source,"0x11B5625B MOVSX R12W,BL\n0x11B56260 NOT RAX\n0x11B56263 MOV RDI,RSP\n0x11B56266 ROL R12D,CL\n0x11B56269 SHL BH,CL\n0x11B5626B MOVSX R12W,BL\n0x11B56270 LEA RAX,[-0x7c0e2b7c + RCX*0x8]\n0x11B56278 LEA R12,[0x11b54e6f]\n0x11B5627F ROL DX,0x1\n0x11B56282 MOV RAX,0x0\n0x11B5628C XADD RDX,RBX\n0x11B56290 DEC RBX\n0x11B56293 ADD RSI,RAX\n0x11B56296 BTS EDX,EDI\n0x11B56299 XCHG AL,DH\n0x11B5629B OR BL,0x57\n0x11B5629E SHLD RDX,RAX,CL\n0x11B562A2 MOV RBX,RSI\n0x11B562A5 XADD AL,DH\n0x11B562A8 NEG DL\n0x11B562AA MOVZX DX,DL\n0x11B562AE ADD RSI,qword ptr [RBP]\n0x11B562B2 ROR RDX,0x35\n0x11B562B6 LEA RDX,[RBP + -0x78f0045b]\n0x11B562BD MOV AL,byte ptr [RSI]\n0x11B562BF SETP DH\n0x11B562C2 SUB DX,DI\n0x11B562C5 ADC DL,0x6\n0x11B562C8 BTC DX,DX\n0x11B562CC SUB AL,BL\n0x11B562CE LEA RDX,[RBX + -0x2df328ed]\n0x11B562D5 ADD AL,0x86\n0x11B562D7 RCR DH,CL\n0x11B562D9 XOR AL,0x34\n0x11B562DB SETP DH\n0x11B562DE CLC\n0x11B562DF BTS DX,DX\n0x11B562E3 ROL AL,0x5\n0x11B562E6 BT SI,DI\n0x11B562EA SUB BL,AL\n0x11B562EC DEC EDX\n0x11B562EE INC DH\n0x11B562F0 MOVZX RDX,CL\n0x11B562F4 DEC DH\n0x11B562F6 MOVZX RAX,AL\n0x11B562FA NOT DX\n0x11B562FD DEC EDX\n0x11B562FF INC RSI\n0x11B56302 CMC\n0x11B56303 SHL DX,0x1\n0x11B56306 BTS DX,0xb\n0x11B5630B ROR DX,0x7\n0x11B5630F MOV RDX,qword ptr [R12 + RAX*0x8]\n0x11B56313 CLC\n0x11B56314 BT DX,DX\n0x11B56318 SUB RDX,-0x15f664fe\n0x11B5631F TEST CL,0x60\n0x11B56322 BT RDX,RSP\n0x11B56326 ADD RDX,R13\n0x11B56329 JMP RDX\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RDI,0x11B5625B,0x11B5625B,,observed_not_proven_source,"0x11B5625B MOVSX R12W,BL\n0x11B56260 NOT RAX\n0x11B56263 MOV RDI,RSP\n0x11B56266 ROL R12D,CL\n0x11B56269 SHL BH,CL\n0x11B5626B MOVSX R12W,BL\n0x11B56270 LEA RAX,[-0x7c0e2b7c + RCX*0x8]\n0x11B56278 LEA R12,[0x11b54e6f]\n0x11B5627F ROL DX,0x1\n0x11B56282 MOV RAX,0x0\n0x11B5628C XADD RDX,RBX\n0x11B56290 DEC RBX\n0x11B56293 ADD RSI,RAX\n0x11B56296 BTS EDX,EDI\n0x11B56299 XCHG AL,DH\n0x11B5629B OR BL,0x57\n0x11B5629E SHLD RDX,RAX,CL\n0x11B562A2 MOV RBX,RSI\n0x11B562A5 XADD AL,DH\n0x11B562A8 NEG DL\n0x11B562AA MOVZX DX,DL\n0x11B562AE ADD RSI,qword ptr [RBP]\n0x11B562B2 ROR RDX,0x35\n0x11B562B6 LEA RDX,[RBP + -0x78f0045b]\n0x11B562BD MOV AL,byte ptr [RSI]\n0x11B562BF SETP DH\n0x11B562C2 SUB DX,DI\n0x11B562C5 ADC DL,0x6\n0x11B562C8 BTC DX,DX\n0x11B562CC SUB AL,BL\n0x11B562CE LEA RDX,[RBX + -0x2df328ed]\n0x11B562D5 ADD AL,0x86\n0x11B562D7 RCR DH,CL\n0x11B562D9 XOR AL,0x34\n0x11B562DB SETP DH\n0x11B562DE CLC\n0x11B562DF BTS DX,DX\n0x11B562E3 ROL AL,0x5\n0x11B562E6 BT SI,DI\n0x11B562EA SUB BL,AL\n0x11B562EC DEC EDX\n0x11B562EE INC DH\n0x11B562F0 MOVZX RDX,CL\n0x11B562F4 DEC DH\n0x11B562F6 MOVZX RAX,AL\n0x11B562FA NOT DX\n0x11B562FD DEC EDX\n0x11B562FF INC RSI\n0x11B56302 CMC\n0x11B56303 SHL DX,0x1\n0x11B56306 BTS DX,0xb\n0x11B5630B ROR DX,0x7\n0x11B5630F MOV RDX,qword ptr [R12 + RAX*0x8]\n0x11B56313 CLC\n0x11B56314 BT DX,DX\n0x11B56318 SUB RDX,-0x15f664fe\n0x11B5631F TEST CL,0x60\n0x11B56322 BT RDX,RSP\n0x11B56326 ADD RDX,R13\n0x11B56329 JMP RDX\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RDX,0x11B56999,0x11B56999,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RSI,0x11B56999,0x11B56999,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBX,0x11B56999,0x11B56999,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
BL,0x11B56999,0x11B56999,,observed_not_proven_source,"0x11B56999 MOVSX BP,AL\n0x11B5699D MOVSX BP,CL\n0x11B569A1 PUSH R9\n0x11B569A3 BSWAP EBP\n0x11B569A5 PUSH R10\n0x11B569A7 MOV RBP,RDI\n0x11B569AA MOVZX BP,BL\n0x11B569AE PUSH RCX\n0x11B569AF NOT EBP\n0x11B569B1 MOV EBP,0xa9b6d973\n0x11B569B6 JMP 0x11b56075\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RBP,0x11B56999,0x11B56999,,observed_not_proven_source,"0x11B56999 MOVSX BP,AL\n0x11B5699D MOVSX BP,CL\n0x11B569A1 PUSH R9\n0x11B569A3 BSWAP EBP\n0x11B569A5 PUSH R10\n0x11B569A7 MOV RBP,RDI\n0x11B569AA MOVZX BP,BL\n0x11B569AE PUSH RCX\n0x11B569AF NOT EBP\n0x11B569B1 MOV EBP,0xa9b6d973\n0x11B569B6 JMP 0x11b56075\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RCX,0x11B56999,0x11B56999,,observed_not_proven_source,"0x11B56999 MOVSX BP,AL\n0x11B5699D MOVSX BP,CL\n0x11B569A1 PUSH R9\n0x11B569A3 BSWAP EBP\n0x11B569A5 PUSH R10\n0x11B569A7 MOV RBP,RDI\n0x11B569AA MOVZX BP,BL\n0x11B569AE PUSH RCX\n0x11B569AF NOT EBP\n0x11B569B1 MOV EBP,0xa9b6d973\n0x11B569B6 JMP 0x11b56075\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RDI,0x11B56999,0x11B56999,,observed_not_proven_source,"0x11B56999 MOVSX BP,AL\n0x11B5699D MOVSX BP,CL\n0x11B569A1 PUSH R9\n0x11B569A3 BSWAP EBP\n0x11B569A5 PUSH R10\n0x11B569A7 MOV RBP,RDI\n0x11B569AA MOVZX BP,BL\n0x11B569AE PUSH RCX\n0x11B569AF NOT EBP\n0x11B569B1 MOV EBP,0xa9b6d973\n0x11B569B6 JMP 0x11b56075\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RDX,0x11B59337,0x11B59337,,RDX flows into final RBP/context base but caller source unknown,"0x11B59337 PUSH R14\n0x11B59339 NOT BP\n0x11B5933C NOT BP\n0x11B5933F MOVZX BP,CL\n0x11B59343 MOV RBP,RDX\n0x11B59346 PUSH R8\n0x11B59348 MOVZX EBP,CL\n0x11B5934B BSWAP EBP\n0x11B5934E JMP 0x11b59832\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RSI,0x11B59337,0x11B59337,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBX,0x11B59337,0x11B59337,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
BL,0x11B59337,0x11B59337,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBP,0x11B59337,0x11B59337,,observed_not_proven_source,"0x11B59337 PUSH R14\n0x11B59339 NOT BP\n0x11B5933C NOT BP\n0x11B5933F MOVZX BP,CL\n0x11B59343 MOV RBP,RDX\n0x11B59346 PUSH R8\n0x11B59348 MOVZX EBP,CL\n0x11B5934B BSWAP EBP\n0x11B5934E JMP 0x11b59832\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RCX,0x11B59337,0x11B59337,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RDI,0x11B59337,0x11B59337,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RDX,0x11B59838,0x11B59838,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RSI,0x11B59838,0x11B59838,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBX,0x11B59838,0x11B59838,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
BL,0x11B59838,0x11B59838,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBP,0x11B59838,0x11B59838,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RCX,0x11B59838,0x11B59838,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RDI,0x11B59838,0x11B59838,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RDX,0x11B45846,0x11B45846,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RSI,0x11B45846,0x11B45846,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBX,0x11B45846,0x11B45846,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
BL,0x11B45846,0x11B45846,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBP,0x11B45846,0x11B45846,,observed_not_proven_source,"0x11B566B4 PUSH RBP; 0x11B566B5 MOV RBP,RBP",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RCX,0x11B45846,0x11B45846,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RDI,0x11B45846,0x11B45846,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RDX,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RSI,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBX,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
BL,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBP,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RCX,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RDI,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RDX,0x11B5625B,0x11B5625B,,observed_not_proven_source,"0x11B5628C XADD RDX,RBX; 0x11B5629E SHLD RDX,RAX,CL; 0x11B562B2 ROR RDX,0x35",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RSI,0x11B5625B,0x11B5625B,,dispatcher uses effective register state; entry source still unknown,"0x11B56293 ADD RSI,RAX; 0x11B562A2 MOV RBX,RSI; 0x11B562AE ADD RSI,qword ptr [RBP]",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RBX,0x11B5625B,0x11B5625B,,dispatcher uses effective register state; entry source still unknown,"0x11B5628C XADD RDX,RBX; 0x11B56290 DEC RBX; 0x11B562A2 MOV RBX,RSI",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
BL,0x11B5625B,0x11B5625B,,dispatcher uses effective register state; entry source still unknown,"0x11B5625B MOVSX R12W,BL; 0x11B5626B MOVSX R12W,BL; 0x11B5629B OR BL,0x57",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RBP,0x11B5625B,0x11B5625B,,observed_not_proven_source,"0x11B562AE ADD RSI,qword ptr [RBP]; 0x11B562B6 LEA RDX,[RBP + -0x78f0045b]",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RCX,0x11B5625B,0x11B5625B,,observed_not_proven_source,"0x11B56270 LEA RAX,[-0x7c0e2b7c + RCX*0x8]",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
