path,file_size,matched_terms,relevance,reason,next_action
C:\AionTools\aion-agent-bridge\artifacts\pass607_antigravity_lobby_smkey_verify.csv,563,key;SM_KEY,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass607_antigravity_lobby_smkey_verify.md,1325,7785;handshake;key;pcode;SM_KEY,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass607_codex_smkey_test.csv,4435,7785;flow,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass607_codex_smkey_test.md,392,key;SM_KEY,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass607_codex_startup_key_trials.csv,400762,7785;key;pcode,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass607_codex_startup_key_trials.md,430,flow;key,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_antigravity_handler_derived_trials_summary.md,924,2106;handler;handshake;key;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_antigravity_handler_trace_matrix.csv,1745,0x11B57796;0x11B5932F;11B57796;11b57796;11B5932F;11b5932f;handler;key;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_antigravity_p609012_dataflow.csv,600,socket,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_antigravity_vm_cleartext_decision.json,1342,0x11B57796;11b57796;11B57796;2106;flow;handler;handshake;key;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_antigravity_vm_cleartext_summary.md,1989,0x11B57796;11b57796;11B57796;2106;7785;disassembly;flow;handler;handshake;key;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_antigravity_vm_execution_model.md,1508,0x11B54E6F;11B54E6F;11b54e6f;dispatcher;flow;handler;key;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_antigravity_vm_handler_classification.csv,6652,11B55DF6;11b55df6;11b57796;11B57796;11b5932f;11B5932F;handler;pcode,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_antigravity_vm_handler_classification.md,1003,disassembly;dispatcher;flow;handler;key;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_antigravity_vm_table_handlers.csv,5817,11B55DF6;11b55df6;11b57796;11B57796;11b5932f;11B5932F;handler;pcode,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_antigravity_vm_table_progress.md,654,0x11B54E6F;0x11B57796;0x11B5932F;11B54E6F;11b54e6f;11B57796;11b57796;11B5932F;11b5932f;Ghidra;handler;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_antigravity_vm_transform_candidates.csv,3114,11b57796;11B57796;11b5932f;11B5932F;handler;key;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_codex_vm_decision.json,1452,0x11B562BD;0x11B5630F;0x11B57796;0x11B5932F;11b562bd;11B562BD;11b5630f;11B5630F;11b57796;11B57796;11B5932F;11b5932f;disassembly;dispatcher;EA_VM;flow;Ghidra;handler;pass8b;pcode;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_codex_vm_emulation_plan.md,1613,0x11B57796;0x11B5932F;11B57796;11b57796;11B5932F;11b5932f;disassembly;dispatcher;flow;Ghidra;handler;pass8b;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_codex_vm_execution_model.md,1297,0x11B54E6F;0x11B562BD;0x11B5630F;0x11B566B4;0x11B56C63;11B54E6F;11b54e6f;11b562bd;11B562BD;11b5630f;11B5630F;11B566B4;11b566b4;11B56C63;11b56c63;dispatcher;EA_VM;handler;pcode;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_codex_vm_handler_classification.csv,4945,11b566b4;11B566B4;11b56c63;11B56C63;11B57796;11b57796;11B5932F;11b5932f;dispatcher;EA_VM;handler;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_codex_vm_handler_classification.md,958,0x11B57796;0x11B5932F;11B57796;11b57796;11B5932F;11b5932f;disassembly;dispatcher;flow;Ghidra;handler;pass8b;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_codex_vm_table_handlers.csv,42081,11B57796;11b57796;11B5932F;11b5932f;EA_VM;Ghidra;handler;pass8b;pcode;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_codex_vm_table_verification.md,1131,0x11B54E6F;0x11B562BD;0x11B5630F;0x11B57796;0x11B5932F;11B54E6F;11b54e6f;11b562bd;11B562BD;11b5630f;11B5630F;11b57796;11B57796;11B5932F;11b5932f;dispatcher;EA_VM;Ghidra;handler;pass8b;pcode;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass610_codex_vm_transform_candidates.csv,1254,0x11B562BD;0x11B5630F;11b562bd;11B562BD;11b5630f;11B5630F;11B57796;11b57796;11B5932F;11b5932f;disassembly;dispatcher;flow;handler;pass8b;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass611_codex_ghidra_followup_decision.json,1935,0x11B562BD;0x11B57796;11b562bd;11B562BD;11b57796;11B57796;disassembly;dispatcher;flow;Ghidra;handler;pass8b;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass611_codex_ghidra_followup_dispatcher.csv,524,0x11B562BD;0x11B5630F;11b562bd;11B562BD;11b5630f;11B5630F;handler;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass611_codex_ghidra_followup_handlers.csv,1215,0x11B57796;0x11B5932F;11B57796;11b57796;11B5932F;11b5932f;dispatcher;flow;handler;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass611_codex_ghidra_followup_summary.md,1817,0x11B57796;11b57796;11B57796;disassembly;dispatcher;flow;Ghidra;handler;pass8b;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass611_codex_handler_trace_matrix.csv,4415,0x11B57796;0x11B5932F;11B57796;11b57796;11B5932F;11b5932f;flow;handler;key;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass611_codex_p609012_dataflow.csv,870,flow;socket,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass611_codex_vm_context_layout.csv,1418,0x11B54E6F;11B54E6F;11b54e6f;dispatcher;EA_VM;flow;handler;key;pcode;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass611_codex_vm_solve_decision.json,1773,0x11B57796;0x11B5932F;11B57796;11b57796;11B5932F;11b5932f;disassembly;flow;handler;pass8b;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass611_codex_vm_solve_summary.md,1502,0x11B57796;0x11B5932F;11B57796;11b57796;11B5932F;11b5932f;disassembly;flow;handler;pass8b;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass611_codex_vm_state_model.md,1187,0x11B54E6F;11B54E6F;11b54e6f;disassembly;flow;handler;key;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass620_codex_s2c_key_candidates.csv,6072,handshake;key;recv,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass620_codex_s2c_key_setup_decision.json,967,7785;handshake;key;receive,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass620_codex_s2c_key_setup_summary.md,1769,7785;EA_VM;handshake;key;receive;recv;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass621_codex_s2c_receive_candidates.csv,14627,0x11B55DF6;0x11B562BD;0x11B5630F;0x11B57796;0x11B5932F;11B55DF6;11b55df6;11b562bd;11B562BD;11b5630f;11B5630F;11b57796;11B57796;11B5932F;11b5932f;disassembly;dispatcher;EA_VM;flow;Ghidra;handler;handshake;key;pass8b;pcode;receive;recv;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass621_codex_s2c_receive_trace_decision.json,1260,7785;disassembly;dispatcher;flow;Ghidra;handler;handshake;key;pass8b;receive;recv;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass621_codex_s2c_receive_trace_notes.md,1624,0x11B55DF6;0x11B562BD;0x11B5630F;0x11B57796;0x11B5932F;11B55DF6;11b55df6;11b562bd;11B562BD;11b5630f;11B5630F;11b57796;11B57796;11B5932F;11b5932f;7785;disassembly;dispatcher;EA_VM;flow;Ghidra;handler;handshake;key;pass8b;receive;recv;send;SM_KEY;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass607_codex_startup\smkey_test.py,4983,flow;key;SM_KEY,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass607_codex_startup\startup_key_trials.py,4476,flow;key;pcode,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass610_antigravity_vm_cleartext\classify_vm_handlers.py,2221,handler;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass610_antigravity_vm_cleartext\parse_vm_table.py,2848,0x11B54E6F;11B54E6F;11b54e6f;EA_VM;Ghidra;handler;key;pass8b;pcode;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass610_antigravity_vm_cleartext\test_derived_transforms.py,3776,handler;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass610_antigravity_vm_cleartext\vm_emulator_skeleton.py,1457,key;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass610_antigravity_vm_cleartext\vm_model_notes.py,592,0x11B54E6F;11B54E6F;11b54e6f;handler;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass610_codex_vm_analysis\classify_handlers.py,77,VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass610_codex_vm_analysis\optional_vm_skeleton.py,647,Ghidra;handler;pass8b;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass610_codex_vm_analysis\parse_vm_table.py,18026,0x11B54E6F;0x11B562BD;0x11B5630F;0x11B566B4;0x11B56C63;0x11B57796;0x11B5932F;11B54E6F;11b54e6f;11b562bd;11B562BD;11b5630f;11B5630F;11B566B4;11b566b4;11B56C63;11b56c63;11b57796;11B57796;11B5932F;11b5932f;disassembly;dispatcher;EA_VM;flow;Ghidra;handler;key;pass8b;pcode;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass611_codex_vm_solve\classify_transform_handlers.py,2645,0x11B57796;11b57796;11B57796;flow;handler;key;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass611_codex_vm_solve\handler_derived_transform_tests.py,1810,disassembly;flow;handler;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass611_codex_vm_solve\parse_existing_vm_exports.py,4416,flow;handler;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass611_codex_vm_solve\run_pass611.py,6380,0x11B57796;0x11B5932F;11B57796;11b57796;11B5932F;11b5932f;disassembly;flow;handler;key;pass8b;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass611_codex_vm_solve\summarize_ghidra_followup.py,9498,0x11B562BD;0x11B5630F;0x11B57796;0x11B5932F;11b562bd;11B562BD;11b5630f;11B5630F;11b57796;11B57796;11B5932F;11b5932f;disassembly;dispatcher;flow;Ghidra;handler;pass8b;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass611_codex_vm_solve\trace_p609012_edge.py,3506,0x11B54E6F;0x11B57796;0x11B5932F;11B54E6F;11b54e6f;11B57796;11b57796;11B5932F;11b5932f;disassembly;flow;handler;pass8b;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass611_codex_vm_solve\vm_state_model.py,3447,0x11B54E6F;11B54E6F;11b54e6f;disassembly;dispatcher;EA_VM;flow;handler;key;pcode;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass620_codex_s2c_key_setup_trace\compare_c2s_s2c_context_layout.py,3412,7785;handshake;key;pcode;receive;recv;SM_KEY;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass620_codex_s2c_key_setup_trace\find_s2c_key_artifacts.py,6239,2106;7785;EA_VM;flow;Ghidra;handler;handshake;key;pass8b;pcode;recv;SM_KEY;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass620_codex_s2c_key_setup_trace\summarize_s2c_key_candidates.py,4906,7785;EA_VM;handshake;key;receive;recv;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass620_codex_s2c_key_setup_trace\trace_s2c_key_setup_static.py,3736,2106;handshake;key;recv;SM_KEY,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass621_codex_s2c_receive_trace\inventory_static_exports.py,4072,0x11B55DF6;0x11B562BD;0x11B5630F;0x11B57796;0x11B5932F;11B55DF6;11b55df6;11b562bd;11B562BD;11b5630f;11B5630F;11b57796;11B57796;11B5932F;11b5932f;2106;7785;decompile;disassembly;dispatcher;EA_VM;flow;Ghidra;handler;handshake;key;pass8b;pcode;receive;recv;SM_KEY;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\tools\pass621_codex_s2c_receive_trace\trace_receive_handshake_exports.py,10660,0x11B55DF6;0x11B562BD;0x11B5630F;0x11B57796;0x11B5932F;11B55DF6;11b55df6;11b562bd;11B562BD;11b5630f;11B5630F;11b57796;11B57796;11B5932F;11b5932f;2106;7785;disassembly;dispatcher;EA_VM;flow;Ghidra;handler;handshake;key;pass8b;pcode;receive;recv;send;SM_KEY;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\old_chat_handovers\euroaion_7785_global_handover_20260710.md,11168,.aion1;2106;7785;disassembly;dispatcher;flow;handler;key;pcode;socket;VM;xrefs,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\old_chat_handovers\new_chat_quick_start_euroaion_7785_20260710.txt,1319,7785;pcode;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\outbox\candidate_files_to_send_to_codex.txt,2245,,low,supporting_text: matched filename/path only,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass610_antigravity_vm_cleartext_local\candidate_trials_full.csv,103,0x11B57796;11b57796;11B57796;handler,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass610_antigravity_vm_cleartext_local\failed_attempts_full.csv,114,,low,supporting_text: matched filename/path only,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass610_antigravity_vm_cleartext_local\handler_derived_trials_full.csv,8043,,low,supporting_text: matched filename/path only,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass610_antigravity_vm_cleartext_local\handler_notes_full.csv,120,0x11B57796;0x11B5932F;11B57796;11b57796;11B5932F;11b5932f;handler;pcode,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass610_antigravity_vm_cleartext_local\progress_log.md,1357,.aion1;disassembly;flow;handler;key;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\candidate_trials_full.csv,246,flow;handler;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\failed_attempts_full.csv,234,flow;handler,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8b\pass8b_export_log.txt,131,Ghidra;pass8b;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8b\pass8b_handler_table_from_ghidra.md,162,.aion1;0x11B54E6F;11B54E6F;11b54e6f;Ghidra;handler;VM,high,real_static_export: VM opcode-to-handler table with requested handler addresses,use in trace
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8b\pass8b_pcode_launch_state_report.md,492,0x11B562BD;0x11B5630F;0x11B566B4;0x11B56C63;11b562bd;11B562BD;11b5630f;11B5630F;11b566b4;11B566B4;11b56c63;11B56C63;disassembly;dispatcher;Ghidra;pass8b;pcode,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_export_log.txt,131,Ghidra;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_flow_summary.md,346,.aion1;dispatcher;flow,high,real_static_export: recursive VM launch/dispatcher flow export,use in trace
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\handler_trace_full.csv,4415,0x11B57796;0x11B5932F;11B57796;11b57796;11B5932F;11b5932f;flow;handler;key;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\progress_log.md,721,0x11B57796;11b57796;11B57796;dispatcher;flow;Ghidra;handler;pass8b;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass618_sonnet_s2c_decoder_local\s2c_keyroll_trace_local.csv,218,,low,supporting_text: matched filename/path only,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass620_codex_s2c_key_setup_trace_local\detailed_candidates_local.csv,6072,handshake;key;recv,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\outbox\pass620_codex_s2c_key_setup_trace_local\full_static_search.log,110981,.aion1;0x11B57796;0x11B5932F;11b57796;11B57796;11B5932F;11b5932f;7785;disassembly;dispatcher;flow;Ghidra;handler;handshake;key;pass8b;pcode;receive;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion_decoder_agent\outbox\static_triage\iat_xrefs.csv,7,,low,supporting_text: matched filename/path only,orientation only
C:\AionTools\EA_VM_TargetDump.py,9860,.aion1;0x11B54E6F;0x11B562BD;0x11B5630F;0x11B566B4;0x11B56C63;11B54E6F;11b54e6f;11b562bd;11B562BD;11b5630f;11B5630F;11B566B4;11b566b4;11B56C63;11b56c63;decompile;disassembly;dispatcher;EA_VM;flow;Ghidra;handler;pass8b;pcode;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\pass8b_manual_without_codex_notes.txt,1468,decompile;disassembly;EA_VM;flow;Ghidra;handler;pass8b;pcode;send;TargetDump;VM,medium,supporting_static_text: contains requested static trace terms,orientation only
