handler_index,handler_va,occurrence_count,classification,notes
40,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
41,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
42,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
43,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
44,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
45,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
46,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
47,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
48,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
49,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
50,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
51,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
52,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
53,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
54,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
55,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
56,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
57,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
58,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
59,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
60,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
61,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
62,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
63,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
64,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
65,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
66,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
67,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
68,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
69,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
70,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
71,0x0000000011B57796,7,reported_by_antigravity_notes_not_table_verified,"Address appears in Antigravity notes for opcode group 71,113,120,157,187,231,247; table CSV is missing."
72,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
73,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
74,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
75,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
76,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
77,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
78,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
79,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
80,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
81,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
82,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
83,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
84,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
85,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
86,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
87,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
88,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
89,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
90,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
91,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
92,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
93,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
94,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
95,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
96,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
97,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
98,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
99,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
100,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
101,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
102,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
103,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
104,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
105,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
106,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
107,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
108,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
109,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
110,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
111,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
112,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
113,0x0000000011B57796,7,reported_by_antigravity_notes_not_table_verified,"Address appears in Antigravity notes for opcode group 71,113,120,157,187,231,247; table CSV is missing."
114,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
115,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
116,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
117,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
118,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
119,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
120,0x0000000011B57796,7,reported_by_antigravity_notes_not_table_verified,"Address appears in Antigravity notes for opcode group 71,113,120,157,187,231,247; table CSV is missing."
121,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
122,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
123,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
124,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
125,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
126,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
127,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
128,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
129,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
130,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
131,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
132,0x0000000011B5932F,4,reported_by_antigravity_notes_not_table_verified,"Address appears in Antigravity notes for opcode group 132,160,208,235; table CSV is missing."
133,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
134,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
135,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
136,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
137,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
138,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
139,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
140,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
141,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
142,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
143,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
144,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
145,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
146,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
147,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
148,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
149,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
150,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
151,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
152,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
153,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
154,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
155,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
156,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
157,0x0000000011B57796,7,reported_by_antigravity_notes_not_table_verified,"Address appears in Antigravity notes for opcode group 71,113,120,157,187,231,247; table CSV is missing."
158,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
159,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
160,0x0000000011B5932F,4,reported_by_antigravity_notes_not_table_verified,"Address appears in Antigravity notes for opcode group 132,160,208,235; table CSV is missing."
161,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
162,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
163,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
164,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
165,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
166,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
167,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
168,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
169,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
170,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
171,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
172,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
173,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
174,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
175,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
176,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
177,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
178,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
179,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
180,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
181,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
182,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
183,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
184,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
185,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
186,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
187,0x0000000011B57796,7,reported_by_antigravity_notes_not_table_verified,"Address appears in Antigravity notes for opcode group 71,113,120,157,187,231,247; table CSV is missing."
188,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
189,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
190,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
191,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
192,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
193,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
194,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
195,,,unverified_missing_generated_table,"EA_VM_TargetDumpJava has a 256-iteration table dumper, but pass8b_handler_table_from_ghidra.csv is not present locally."
