model_id,visible_length,oracle_count,candidate_length_field_offset,candidate_length_width,length_signal_score,confidence,reason
fm03615,28,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03615,35,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03615,36,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03615,43,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03615,44,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03615,51,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03615,52,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03218,27,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03218,28,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03218,35,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03218,36,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03218,43,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03218,44,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03218,51,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03218,52,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03219,27,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03219,28,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03219,35,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03219,36,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03219,43,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03219,44,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03219,51,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03219,52,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03222,27,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03222,28,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03222,35,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03222,36,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03222,43,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03222,44,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03222,51,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03222,52,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03223,27,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03223,28,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03223,35,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03223,36,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03223,43,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03223,44,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03223,51,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03223,52,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03612,27,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03612,28,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03612,35,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03612,36,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03612,43,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03612,44,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03612,51,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03612,52,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03616,27,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03616,28,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03616,35,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03616,36,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03616,43,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03616,44,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03616,51,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03616,52,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03217,27,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03217,28,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03217,35,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03217,36,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03217,43,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03217,44,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03217,51,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03217,52,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03221,27,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03221,28,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03221,35,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03221,36,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03221,43,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03221,44,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03221,51,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03221,52,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03220,27,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03220,28,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03220,35,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03220,36,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03220,43,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03220,44,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03220,51,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03220,52,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03224,27,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03224,28,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03224,35,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03224,36,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03224,43,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03224,44,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03224,51,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03224,52,2,2,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03609,27,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03609,28,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03609,35,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03609,36,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03609,43,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03609,44,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03609,51,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03609,52,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03613,27,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03613,28,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03613,35,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03613,36,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03613,43,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03613,44,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03613,51,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03613,52,2,15,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03154,27,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03154,28,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03154,35,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03154,36,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03154,43,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03154,44,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03154,51,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03154,52,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03155,27,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03155,28,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03155,35,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03155,36,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03155,43,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03155,44,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03155,51,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03155,52,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03158,27,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03158,28,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03158,35,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03158,36,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03158,43,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03158,44,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03158,51,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03158,52,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03159,27,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03159,28,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03159,35,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03159,36,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03159,43,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03159,44,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03159,51,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03159,52,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03594,27,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03594,28,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03594,35,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03594,36,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03594,43,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03594,44,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03594,51,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03594,52,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03595,27,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03595,28,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03595,35,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03595,36,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03595,43,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03595,44,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03595,51,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03595,52,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03598,27,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03598,28,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03598,35,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03598,36,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03598,43,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03598,44,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03598,51,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03598,52,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03599,27,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03599,28,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03599,35,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03599,36,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03599,43,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03599,44,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03599,51,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03599,52,2,14,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03442,27,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03442,28,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03442,35,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03442,36,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03442,43,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03442,44,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03442,51,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03442,52,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03443,27,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03443,28,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03443,35,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03443,36,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03443,43,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03443,44,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03443,51,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03443,52,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03446,27,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03446,28,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03446,35,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03446,36,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03446,43,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03446,44,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03446,51,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03446,52,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03447,27,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03447,28,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03447,35,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03447,36,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03447,43,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03447,44,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03447,51,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03447,52,2,9,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03153,27,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03153,28,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03153,35,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03153,36,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03153,43,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03153,44,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03153,51,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03153,52,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03157,27,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03157,28,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03157,35,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03157,36,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03157,43,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03157,44,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03157,51,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03157,52,2,0,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03506,27,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03506,28,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03506,35,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03506,36,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03506,43,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03506,44,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03506,51,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03506,52,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03507,27,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03507,28,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03507,35,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03507,36,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03507,43,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03507,44,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03507,51,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03507,52,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03510,27,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03510,28,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03510,35,2,11,1,0.837,medium,visible length ladder compared to candidate length field family without publishing bytes
