body_model_id,frame_model_id,body_start,trailer_len,frames_sampled,mean_entropy,repeat_stability,channel_pair_signal,length_ladder_consistency,score,survives,confidence,reason
bm0001,fm03410,14,0,200,5.704,unknown_pending_transform,metadata_only,metadata_only,18.26,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0023,fm03410,18,2,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0024,fm03410,18,4,189,5.649,unknown_pending_transform,metadata_only,metadata_only,18.162,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0025,fm03410,18,8,184,5.619,unknown_pending_transform,metadata_only,metadata_only,18.142,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0026,fm03411,14,0,200,5.704,unknown_pending_transform,metadata_only,metadata_only,18.26,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0027,fm03411,14,1,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0028,fm03411,14,2,198,5.608,unknown_pending_transform,metadata_only,metadata_only,18.672,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0029,fm03411,14,4,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0030,fm03411,14,8,189,5.656,unknown_pending_transform,metadata_only,metadata_only,18.127,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0031,fm03411,15,0,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0032,fm03411,15,1,198,5.61,unknown_pending_transform,metadata_only,metadata_only,18.662,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0033,fm03411,15,2,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0034,fm03411,15,4,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0035,fm03411,15,8,188,5.604,unknown_pending_transform,metadata_only,metadata_only,18.353,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0036,fm03411,16,0,198,5.609,unknown_pending_transform,metadata_only,metadata_only,18.667,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0037,fm03411,16,1,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0038,fm03411,16,2,194,5.457,unknown_pending_transform,metadata_only,metadata_only,19.291,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0039,fm03411,16,4,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0040,fm03411,16,8,184,5.696,unknown_pending_transform,metadata_only,metadata_only,17.757,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0041,fm03411,17,0,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0042,fm03411,17,1,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0043,fm03411,17,2,190,5.764,unknown_pending_transform,metadata_only,metadata_only,17.621,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0044,fm03411,17,4,190,5.692,unknown_pending_transform,metadata_only,metadata_only,17.981,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0045,fm03411,17,8,184,5.66,unknown_pending_transform,metadata_only,metadata_only,17.937,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0046,fm03411,18,0,194,5.458,unknown_pending_transform,metadata_only,metadata_only,19.286,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0047,fm03411,18,1,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0048,fm03411,18,2,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0049,fm03411,18,4,189,5.649,unknown_pending_transform,metadata_only,metadata_only,18.162,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0050,fm03411,18,8,184,5.619,unknown_pending_transform,metadata_only,metadata_only,18.142,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0051,fm03414,14,0,200,5.704,unknown_pending_transform,metadata_only,metadata_only,18.26,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0052,fm03414,14,1,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0053,fm03414,14,2,198,5.608,unknown_pending_transform,metadata_only,metadata_only,18.672,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0054,fm03414,14,4,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0055,fm03414,14,8,189,5.656,unknown_pending_transform,metadata_only,metadata_only,18.127,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0056,fm03414,15,0,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0057,fm03414,15,1,198,5.61,unknown_pending_transform,metadata_only,metadata_only,18.662,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0058,fm03414,15,2,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0059,fm03414,15,4,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0060,fm03414,15,8,188,5.604,unknown_pending_transform,metadata_only,metadata_only,18.353,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0061,fm03414,16,0,198,5.609,unknown_pending_transform,metadata_only,metadata_only,18.667,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0062,fm03414,16,1,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0063,fm03414,16,2,194,5.457,unknown_pending_transform,metadata_only,metadata_only,19.291,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0064,fm03414,16,4,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0065,fm03414,16,8,184,5.696,unknown_pending_transform,metadata_only,metadata_only,17.757,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0066,fm03414,17,0,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0067,fm03414,17,1,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0068,fm03414,17,2,190,5.764,unknown_pending_transform,metadata_only,metadata_only,17.621,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0069,fm03414,17,4,190,5.692,unknown_pending_transform,metadata_only,metadata_only,17.981,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0070,fm03414,17,8,184,5.66,unknown_pending_transform,metadata_only,metadata_only,17.937,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0071,fm03414,18,0,194,5.458,unknown_pending_transform,metadata_only,metadata_only,19.286,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0072,fm03414,18,1,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0073,fm03414,18,2,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0074,fm03414,18,4,189,5.649,unknown_pending_transform,metadata_only,metadata_only,18.162,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0075,fm03414,18,8,184,5.619,unknown_pending_transform,metadata_only,metadata_only,18.142,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0076,fm03415,14,0,200,5.704,unknown_pending_transform,metadata_only,metadata_only,18.26,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0077,fm03415,14,1,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0078,fm03415,14,2,198,5.608,unknown_pending_transform,metadata_only,metadata_only,18.672,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0079,fm03415,14,4,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0080,fm03415,14,8,189,5.656,unknown_pending_transform,metadata_only,metadata_only,18.127,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0081,fm03415,15,0,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0082,fm03415,15,1,198,5.61,unknown_pending_transform,metadata_only,metadata_only,18.662,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0083,fm03415,15,2,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0084,fm03415,15,4,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0085,fm03415,15,8,188,5.604,unknown_pending_transform,metadata_only,metadata_only,18.353,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0086,fm03415,16,0,198,5.609,unknown_pending_transform,metadata_only,metadata_only,18.667,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0087,fm03415,16,1,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0088,fm03415,16,2,194,5.457,unknown_pending_transform,metadata_only,metadata_only,19.291,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0089,fm03415,16,4,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0090,fm03415,16,8,184,5.696,unknown_pending_transform,metadata_only,metadata_only,17.757,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0091,fm03415,17,0,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0092,fm03415,17,1,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0093,fm03415,17,2,190,5.764,unknown_pending_transform,metadata_only,metadata_only,17.621,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0094,fm03415,17,4,190,5.692,unknown_pending_transform,metadata_only,metadata_only,17.981,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0095,fm03415,17,8,184,5.66,unknown_pending_transform,metadata_only,metadata_only,17.937,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0096,fm03415,18,0,194,5.458,unknown_pending_transform,metadata_only,metadata_only,19.286,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0097,fm03415,18,1,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0098,fm03415,18,2,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0099,fm03415,18,4,189,5.649,unknown_pending_transform,metadata_only,metadata_only,18.162,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0100,fm03415,18,8,184,5.619,unknown_pending_transform,metadata_only,metadata_only,18.142,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0101,fm03409,14,0,200,5.704,unknown_pending_transform,metadata_only,metadata_only,18.26,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0102,fm03409,14,1,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0103,fm03409,14,2,198,5.608,unknown_pending_transform,metadata_only,metadata_only,18.672,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0104,fm03409,14,4,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0105,fm03409,14,8,189,5.656,unknown_pending_transform,metadata_only,metadata_only,18.127,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0106,fm03409,15,0,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0107,fm03409,15,1,198,5.61,unknown_pending_transform,metadata_only,metadata_only,18.662,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0108,fm03409,15,2,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0109,fm03409,15,4,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0110,fm03409,15,8,188,5.604,unknown_pending_transform,metadata_only,metadata_only,18.353,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0111,fm03409,16,0,198,5.609,unknown_pending_transform,metadata_only,metadata_only,18.667,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0112,fm03409,16,1,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0113,fm03409,16,2,194,5.457,unknown_pending_transform,metadata_only,metadata_only,19.291,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0114,fm03409,16,4,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0115,fm03409,16,8,184,5.696,unknown_pending_transform,metadata_only,metadata_only,17.757,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0116,fm03409,17,0,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0117,fm03409,17,1,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0118,fm03409,17,2,190,5.764,unknown_pending_transform,metadata_only,metadata_only,17.621,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0119,fm03409,17,4,190,5.692,unknown_pending_transform,metadata_only,metadata_only,17.981,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0120,fm03409,17,8,184,5.66,unknown_pending_transform,metadata_only,metadata_only,17.937,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0121,fm03409,18,0,194,5.458,unknown_pending_transform,metadata_only,metadata_only,19.286,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0122,fm03409,18,1,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0123,fm03409,18,2,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0124,fm03409,18,4,189,5.649,unknown_pending_transform,metadata_only,metadata_only,18.162,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0125,fm03409,18,8,184,5.619,unknown_pending_transform,metadata_only,metadata_only,18.142,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0126,fm03412,14,0,200,5.704,unknown_pending_transform,metadata_only,metadata_only,18.26,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0127,fm03412,14,1,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0128,fm03412,14,2,198,5.608,unknown_pending_transform,metadata_only,metadata_only,18.672,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0129,fm03412,14,4,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0130,fm03412,14,8,189,5.656,unknown_pending_transform,metadata_only,metadata_only,18.127,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0131,fm03412,15,0,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0132,fm03412,15,1,198,5.61,unknown_pending_transform,metadata_only,metadata_only,18.662,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0133,fm03412,15,2,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0134,fm03412,15,4,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0135,fm03412,15,8,188,5.604,unknown_pending_transform,metadata_only,metadata_only,18.353,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0136,fm03412,16,0,198,5.609,unknown_pending_transform,metadata_only,metadata_only,18.667,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0137,fm03412,16,1,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0138,fm03412,16,2,194,5.457,unknown_pending_transform,metadata_only,metadata_only,19.291,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0139,fm03412,16,4,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0140,fm03412,16,8,184,5.696,unknown_pending_transform,metadata_only,metadata_only,17.757,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0141,fm03412,17,0,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0142,fm03412,17,1,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0143,fm03412,17,2,190,5.764,unknown_pending_transform,metadata_only,metadata_only,17.621,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0144,fm03412,17,4,190,5.692,unknown_pending_transform,metadata_only,metadata_only,17.981,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0145,fm03412,17,8,184,5.66,unknown_pending_transform,metadata_only,metadata_only,17.937,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0146,fm03412,18,0,194,5.458,unknown_pending_transform,metadata_only,metadata_only,19.286,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0147,fm03412,18,1,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0148,fm03412,18,2,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0149,fm03412,18,4,189,5.649,unknown_pending_transform,metadata_only,metadata_only,18.162,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0150,fm03412,18,8,184,5.619,unknown_pending_transform,metadata_only,metadata_only,18.142,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0151,fm03413,14,0,200,5.704,unknown_pending_transform,metadata_only,metadata_only,18.26,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0152,fm03413,14,1,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0153,fm03413,14,2,198,5.608,unknown_pending_transform,metadata_only,metadata_only,18.672,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0154,fm03413,14,4,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0155,fm03413,14,8,189,5.656,unknown_pending_transform,metadata_only,metadata_only,18.127,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0156,fm03413,15,0,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0157,fm03413,15,1,198,5.61,unknown_pending_transform,metadata_only,metadata_only,18.662,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0158,fm03413,15,2,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0159,fm03413,15,4,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0160,fm03413,15,8,188,5.604,unknown_pending_transform,metadata_only,metadata_only,18.353,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0161,fm03413,16,0,198,5.609,unknown_pending_transform,metadata_only,metadata_only,18.667,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0162,fm03413,16,1,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0163,fm03413,16,2,194,5.457,unknown_pending_transform,metadata_only,metadata_only,19.291,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0164,fm03413,16,4,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0165,fm03413,16,8,184,5.696,unknown_pending_transform,metadata_only,metadata_only,17.757,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0166,fm03413,17,0,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0167,fm03413,17,1,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0168,fm03413,17,2,190,5.764,unknown_pending_transform,metadata_only,metadata_only,17.621,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0169,fm03413,17,4,190,5.692,unknown_pending_transform,metadata_only,metadata_only,17.981,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0170,fm03413,17,8,184,5.66,unknown_pending_transform,metadata_only,metadata_only,17.937,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0171,fm03413,18,0,194,5.458,unknown_pending_transform,metadata_only,metadata_only,19.286,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0172,fm03413,18,1,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0173,fm03413,18,2,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0174,fm03413,18,4,189,5.649,unknown_pending_transform,metadata_only,metadata_only,18.162,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0175,fm03413,18,8,184,5.619,unknown_pending_transform,metadata_only,metadata_only,18.142,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0176,fm03416,14,0,200,5.704,unknown_pending_transform,metadata_only,metadata_only,18.26,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0177,fm03416,14,1,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0178,fm03416,14,2,198,5.608,unknown_pending_transform,metadata_only,metadata_only,18.672,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0179,fm03416,14,4,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0180,fm03416,14,8,189,5.656,unknown_pending_transform,metadata_only,metadata_only,18.127,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0181,fm03416,15,0,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0182,fm03416,15,1,198,5.61,unknown_pending_transform,metadata_only,metadata_only,18.662,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0183,fm03416,15,2,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
