source_file,location,hit_type,term,short_context,classification
C:\AionTools\aion-agent-bridge\artifacts\pass619_codex_s2c_next_task_decision.json,3,direction_split_candidate,S2C,"""phase"": ""pass619_low_credit_s2c_planning"",",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass619_codex_s2c_next_task_decision.json,5,direction_split_candidate,S2C,"""s2c_current_blocker"": ""unknown_s2c_initial_key"",",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass619_codex_s2c_next_task_decision.json,6,direction_split_candidate,S2C,"""next_direction"": ""static trace S2C key setup / handshake seed derivation"",",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass619_codex_s2c_next_task_decision.json,6,seed_derivation_candidate,handshake,"""next_direction"": ""static trace S2C key setup / handshake seed derivation"",",possible handshake/seed setup reference
C:\AionTools\aion-agent-bridge\artifacts\pass619_codex_s2c_next_task_decision.json,8,string_reference,C2S,"""c2s_tools_modified"": false,",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass619_codex_s2c_next_task_decision.json,13,direction_split_candidate,S2C,"""next_action"": ""wait_for_credit_then_run_static_s2c_key_setup_trace""",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,3,direction_split_candidate,S2C,"""phase"": ""pass618_s2c_world_stream_probe"",",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,5,direction_split_candidate,S2C,"""s2c_inventory_built"": true,",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,6,direction_split_candidate,S2C,"""s2c_packets_indexed"": 163,",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,6,context_layout_candidate,packet,"""s2c_packets_indexed"": 163,",possible packet context reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,7,direction_split_candidate,S2C,"""s2c_anchor_candidates_tested"": 67,",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,8,direction_split_candidate,S2C,"""s2c_anchor_found"": true,",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,9,direction_split_candidate,S2C,"""s2c_anchor_frame"": 4116,",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,10,direction_split_candidate,S2C,"""s2c_anchor_note"": ""Single-frame candidates only (64 high-confidence k0 values on fr...",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,11,direction_split_candidate,S2C,"""s2c_initial_key_source"": ""brute k0 sweep on frame 4116 - 64 candidates, all individually valid, none uniquely confirmed"",",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,12,direction_split_candidate,S2C,"""s2c_length_mask_rule_identified"": false,",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,13,direction_split_candidate,S2C,"""s2c_stream_decode_formula_matches_c2s"": true,",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,13,string_reference,C2S,"""s2c_stream_decode_formula_matches_c2s"": true,",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,13,string_reference,decode,"""s2c_stream_decode_formula_matches_c2s"": true,",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,14,direction_split_candidate,S2C,"""s2c_keyroll_implemented"": true,",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,15,direction_split_candidate,S2C,"""s2c_packets_decoded_sequentially"": 1,",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,15,context_layout_candidate,packet,"""s2c_packets_decoded_sequentially"": 1,",possible packet context reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,15,string_reference,decode,"""s2c_packets_decoded_sequentially"": 1,",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,17,direction_split_candidate,S2C,"""s2c_decoder_success"": false,",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,17,string_reference,decode,"""s2c_decoder_success"": false,",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,18,direction_split_candidate,S2C,"""checkpoint_s2c_key_4e99_valid"": false,",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,21,string_reference,C2S,"""c2s_tools_modified"": false,",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,26,direction_split_candidate,S2C,"""reason"": ""S2C cipher formula confirmed same as C2S. Checkpoint key 4e99ca25a16c5487 invalid. ...",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,26,string_reference,C2S,"""reason"": ""S2C cipher formula confirmed same as C2S. Checkpoint key 4e99ca25a16c5487 invalid. Frame 4116 brute sweep yields 64 sing...",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,26,negative_control,4e99ca25,"""reason"": ""S2C cipher formula confirmed same as C2S. Checkpoint key 4e99ca25a16c5487 invalid. Frame 4116 brute sweep yields 64 single-frame valid candidates...",invalidated checkpoint key reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,26,negative_control,a16c5487,"""reason"": ""S2C cipher formula confirmed same as C2S. Checkpoint key 4e99ca25a16c5487 invalid. Frame 4116 brute sweep yields 64 single-frame valid candidates (op<0x2...",invalidated checkpoint key reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,27,direction_split_candidate,S2C,"""next_action"": ""Obtain S2C initial key via: (1) known-plaintext S2C oracle on any early fixed-format packe...",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,27,seed_derivation_candidate,handshake,"... packet, or (2) trace S2C key setup through game.dll VM handlers for the server handshake seed derivation path.""...",possible handshake/seed setup reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_decision.json,27,context_layout_candidate,packet,"...n S2C initial key via: (1) known-plaintext S2C oracle on any early fixed-format packet, or (2) trace S2C key setup through game.dll VM handlers for the server handsha...",possible packet context reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,1,direction_split_candidate,S2C,# pass618 Sonnet S2C World Stream Probe – Summary,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,3,direction_split_candidate,S2C,## Status: BLOCKER – S2C initial key unknown,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,5,direction_split_candidate,S2C,"S2C inventory was built and the cipher formula was confirmed consistent,",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,14,direction_split_candidate,S2C,| S2C packets indexed | 163 |,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,14,context_layout_candidate,packet,| S2C packets indexed | 163 |,possible packet context reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,15,context_layout_candidate,packet,| Bulk packets (≥1000 B) | 135 |,possible packet context reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,16,context_layout_candidate,packet,| Small packets (<1000 B) | 28 |,possible packet context reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,21,direction_split_candidate,S2C,| S2C decoder success | **no** |,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,21,string_reference,decode,| S2C decoder success | **no** |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,22,string_reference,C2S,| C2S tools modified | no |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,29,direction_split_candidate,S2C,### Checkpoint S2C key `4e99ca25a16c5487` is invalid,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,29,negative_control,4e99ca25,### Checkpoint S2C key `4e99ca25a16c5487` is invalid,invalidated checkpoint key reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,29,negative_control,a16c5487,### Checkpoint S2C key `4e99ca25a16c5487` is invalid,invalidated checkpoint key reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,30,direction_split_candidate,S2C,"Tests on all early S2C frames (4116, 4119, 4122) yield:",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,36,string_reference,C2S,### Cipher formula is consistent with C2S,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,38,direction_split_candidate,S2C,- Same `STATIC_KEY XOR` stream cipher applies to S2C.,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,38,packet_setup_candidate,STATIC_KEY,- Same `STATIC_KEY XOR` stream cipher applies to S2C.,possible cipher/key setup reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,54,direction_split_candidate,S2C,**Missing input: S2C initial key.**,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,56,direction_split_candidate,S2C,The S2C initial key is session-derived from the world server handshake seed.,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,56,seed_derivation_candidate,handshake,The S2C initial key is session-derived from the world server handshake seed.,possible handshake/seed setup reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,57,seed_derivation_candidate,handshake,The handshake itself is encrypted. Without a plaintext oracle for any early,possible handshake/seed setup reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,57,packet_setup_candidate,encrypt,The handshake itself is encrypted. Without a plaintext oracle for any early,possible cipher/key setup reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,58,direction_split_candidate,S2C,"S2C packet, static PCAP analysis cannot recover the key.",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,58,context_layout_candidate,packet,"S2C packet, static PCAP analysis cannot recover the key.",possible packet context reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,64,direction_split_candidate,S2C,1. **Known-plaintext S2C packet** — any S2C frame whose plaintext is known,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,64,context_layout_candidate,packet,1. **Known-plaintext S2C packet** — any S2C frame whose plaintext is known,possible packet context reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,66,seed_derivation_candidate,handshake,2. **Server handshake seed** — if the session seed derivation can be traced through,possible handshake/seed setup reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,67,direction_split_candidate,S2C,the `game.dll` VM handlers for S2C key setup.,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,77,direction_split_candidate,S2C,| `tools/pass618_sonnet_s2c_decoder/euroaion_s2c_probe.py` | Core probe library |,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,77,string_reference,decode,| `tools/pass618_sonnet_s2c_decoder/euroaion_s2c_probe.py` | Core probe library |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,78,direction_split_candidate,S2C,| `tools/pass618_sonnet_s2c_decoder/run_probe_s2c.py` | CLI runner |,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,78,string_reference,decode,| `tools/pass618_sonnet_s2c_decoder/run_probe_s2c.py` | CLI runner |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,79,direction_split_candidate,S2C,| `tools/pass618_sonnet_s2c_decoder/README.md` | Findings documentation |,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,79,string_reference,decode,| `tools/pass618_sonnet_s2c_decoder/README.md` | Findings documentation |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,80,direction_split_candidate,S2C,| `artifacts/pass618_sonnet_s2c_inventory_summary.csv` | Inventory (no hex) |,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,81,direction_split_candidate,S2C,| `artifacts/pass618_sonnet_s2c_anchor_candidates.csv` | Candidate table |,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,82,direction_split_candidate,S2C,| `artifacts/pass618_sonnet_s2c_decoder_summary.md` | This file |,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,82,string_reference,decode,| `artifacts/pass618_sonnet_s2c_decoder_summary.md` | This file |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,83,direction_split_candidate,S2C,| `artifacts/pass618_sonnet_s2c_decoder_decision.json` | Machine-readable decision |,possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,83,string_reference,decode,| `artifacts/pass618_sonnet_s2c_decoder_decision.json` | Machine-readable decision |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_decoder_summary.md,92,string_reference,C2S,"- C2S tools (pass616, pass617) not modified.",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_anchor_candidates.csv,2,string_reference,C2S,"0,4116,Checkpoint memory key,checkpoint_memory,c2s_cipher_complement,no,0x7A,none,n/a - confirmed invalid",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_anchor_candidates.csv,3,string_reference,C2S,"1,4119,Checkpoint memory key,checkpoint_memory,c2s_cipher_complement,no,0x7A,none,n/a - confirmed invalid",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_anchor_candidates.csv,4,string_reference,C2S,"2,4122,Checkpoint memory key,checkpoint_memory,c2s_cipher_complement,no,0x7A,none,n/a - confirmed invalid",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_anchor_candidates.csv,5,string_reference,C2S,"3,4116,Brute k0 sweep low-opcode,brute_k0_sweep,c2s_cipher_complement_opcode_lt_0x20,yes,multiple,medium,Need multi-frame chain - ambiguous without known plaintext",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_anchor_candidates.csv,6,string_reference,C2S,"4,4119,Brute k0 sweep low-opcode,brute_k0_sweep,c2s_cipher_complement_opcode_lt_0x20,yes,multiple,medium,Need multi-frame chain - ambiguous without known plaintext",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass618_sonnet_s2c_anchor_candidates.csv,7,string_reference,C2S,"5,4122,Brute k0 sweep low-opcode,brute_k0_sweep,c2s_cipher_complement_opcode_lt_0x20,yes,multiple,medium,Path space explodes to >50000 through bulk frames - unresolvable statically",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,1,string_reference,C2S,# pass616 Sonnet C2S Decoder – Summary,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,1,string_reference,decode,# pass616 Sonnet C2S Decoder – Summary,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,3,string_reference,decode,## Status: DECODER SUCCESS,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,14,string_reference,C2S,"| `tools/pass616_sonnet_c2s_decoder/euroaion_c2s_decoder.py` | Core library – PCAP parser, stream cipher, key-roll inference |",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,14,string_reference,decode,"| `tools/pass616_sonnet_c2s_decoder/euroaion_c2s_decoder.py` | Core library – PCAP parser, stream cipher, key-roll inference |",search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,15,string_reference,C2S,| `tools/pass616_sonnet_c2s_decoder/run_decode_kxseq.py` | CLI runner – clean per-frame summary |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,15,string_reference,decode,| `tools/pass616_sonnet_c2s_decoder/run_decode_kxseq.py` | CLI runner – clean per-frame summary |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,16,string_reference,C2S,| `tools/pass616_sonnet_c2s_decoder/validate_kxseq_oracle.py` | Strict oracle – asserts all 11 labels; writes local-only CSVs |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,16,string_reference,decode,| `tools/pass616_sonnet_c2s_decoder/validate_kxseq_oracle.py` | Strict oracle – asserts all 11 labels; writes local-only CSVs |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,17,string_reference,C2S,| `tools/pass616_sonnet_c2s_decoder/README.md` | Algorithm documentation |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,17,string_reference,decode,| `tools/pass616_sonnet_c2s_decoder/README.md` | Algorithm documentation |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,19,string_reference,C2S,| `artifacts/pass616_sonnet_c2s_decoder_summary.md` | This file |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,19,string_reference,decode,| `artifacts/pass616_sonnet_c2s_decoder_summary.md` | This file |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,20,string_reference,C2S,| `artifacts/pass616_sonnet_c2s_decoder_decision.json` | Machine-readable decision |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,20,string_reference,decode,| `artifacts/pass616_sonnet_c2s_decoder_decision.json` | Machine-readable decision |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,47,packet_setup_candidate,STATIC_KEY,- **Stream cipher**: left-to-right XOR with `STATIC_KEY` + rolling 8-byte key.,possible cipher/key setup reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,48,context_layout_candidate,packet,- **Key rolling (linear)**: `key += body_len` (64-bit LE) for simple packets.,possible packet context reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,51,string_reference,decode,- **Opcode decode**: `(byte0 ^ 0xEE) − 0xAE mod 256`; complement byte2 == `~byte0`.,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,67,direction_split_candidate,S2C,"- S2C stream decoding (independent key schedule, not yet solved).",possible S2C/recv path reference
C:\AionTools\aion-agent-bridge\artifacts\pass616_sonnet_c2s_decoder_summary.md,68,seed_derivation_candidate,handshake,- Generalise anchor key derivation from the TCP handshake.,possible handshake/seed setup reference
C:\AionTools\aion-agent-bridge\artifacts\pass617_sonnet_c2s_chat_extractor_summary.md,1,string_reference,C2S,# pass617 Sonnet C2S Chat Extractor – Summary,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass617_sonnet_c2s_chat_extractor_summary.md,13,string_reference,C2S,| C2S packets processed | 30 |,search term reference
C:\AionTools\aion-agent-bridge\artifacts\pass617_sonnet_c2s_chat_extractor_summary.md,13,context_layout_candidate,packet,| C2S packets processed | 30 |,possible packet context reference
